ano;cnae_2_descricao_secao;variable;salario_medio
2009;Atividades profissionais, científicas e técnicas;Demissões;770.8975958702065
2009;"Comércio; reparação de veículos automotores e motocicletas";Admissões;712.0408198410362
2009;"Comércio; reparação de veículos automotores e motocicletas";Demissões;798.4590292459478
2009;Construção;Admissões;671.9982585803432
2009;Construção;Demissões;727.8400068415052
2009;Educação;Admissões;901.0521753986333
2009;Educação;Demissões;1398.8527538155276
2009;Eletricidade e gás;Demissões;508.0
2009;Indústrias de transformação;Admissões;1030.3328418935644
2009;Indústrias de transformação;Demissões;1362.1323162134945
2009;Informação e comunicação;Admissões;978.375888088173
2009;Informação e comunicação;Demissões;1105.4933616569303
2009;Organismos internacionais e outras instituições extraterritoriais;Admissões;643.375
2009;Organismos internacionais e outras instituições extraterritoriais;Demissões;627.7142857142857
2009;Outras atividades de serviços;Admissões;754.6599315068493
2009;Outras atividades de serviços;Demissões;929.6163157894737
2009;Saúde humana e serviços sociais;Admissões;786.695036028823
2009;Saúde humana e serviços sociais;Demissões;889.5818330134357
2009;Serviços domésticos;Admissões;689.75
2009;Serviços domésticos;Demissões;505.0
2009;Transporte, armazenagem e correio;Admissões;757.8950077760497
2009;Transporte, armazenagem e correio;Demissões;849.746268246245
2009;Água, esgoto, atividades de gestão de resíduos e descontaminação;Admissões;814.1078431372549
2009;Água, esgoto, atividades de gestão de resíduos e descontaminação;Demissões;921.2313333333334
2010;Administração pública, defesa e seguridade social;Admissões;656.2700105894811
2010;Administração pública, defesa e seguridade social;Demissões;565.7856160810188
2010;Agricultura, pecuária, produção florestal, pesca e aquicultura;Admissões;510.2862068965517
2010;Agricultura, pecuária, produção florestal, pesca e aquicultura;Demissões;516.125
2010;Alojamento e alimentação;Admissões;659.8161663260092
2010;Alojamento e alimentação;Demissões;718.2359698212716
2010;Artes, cultura, esporte e recreação;Admissões;517.4563311688312
2010;Artes, cultura, esporte e recreação;Demissões;469.9485365853659
2010;Atividades administrativas e serviços complementares;Admissões;696.5298907638379
2010;Atividades administrativas e serviços complementares;Demissões;757.5231695568401
2010;Atividades financeiras, de seguros e serviços relacionados;Admissões;1362.6797437266418
2010;Atividades financeiras, de seguros e serviços relacionados;Demissões;2097.4246051660516
2010;Atividades imobiliárias;Admissões;717.5036082474228
2010;Atividades imobiliárias;Demissões;828.2266666666667
2010;Atividades profissionais, científicas e técnicas;Admissões;732.5370303712036
2010;Atividades profissionais, científicas e técnicas;Demissões;987.3672424979725
2010;"Comércio; reparação de veículos automotores e motocicletas";Admissões;742.3939566810258
2010;"Comércio; reparação de veículos automotores e motocicletas";Demissões;825.8640640513968
2010;Construção;Admissões;724.8801803704907
2010;Construção;Demissões;794.6872349683545
2010;Educação;Admissões;868.3829197994987
2010;Educação;Demissões;1099.7918504435995
2010;Eletricidade e gás;Admissões;2854.0
2010;Eletricidade e gás;Demissões;3563.0
2010;Indústrias de transformação;Admissões;1165.5778827937963
2010;Indústrias de transformação;Demissões;1297.654813428018
2010;Informação e comunicação;Admissões;854.2257112638816
2010;Informação e comunicação;Demissões;1125.8461183059153
2010;Organismos internacionais e outras instituições extraterritoriais;Admissões;873.8966789667896
2010;Organismos internacionais e outras instituições extraterritoriais;Demissões;732.9375
2010;Outras atividades de serviços;Admissões;708.8092564745197
2010;Outras atividades de serviços;Demissões;889.9049273959342
2010;Saúde humana e serviços sociais;Admissões;858.2685011529593
2010;Saúde humana e serviços sociais;Demissões;884.8789180327869
2010;Serviços domésticos;Admissões;575.4583333333334
2010;Serviços domésticos;Demissões;548.3333333333334
2010;Transporte, armazenagem e correio;Admissões;852.3400702155453
2010;Transporte, armazenagem e correio;Demissões;931.9350709426628
2010;Água, esgoto, atividades de gestão de resíduos e descontaminação;Admissões;970.5621621621622
2010;Água, esgoto, atividades de gestão de resíduos e descontaminação;Demissões;1111.7941176470588
2011;Administração pública, defesa e seguridade social;Admissões;757.7323584354933
2011;Administração pública, defesa e seguridade social;Demissões;751.2801143074871
2011;Agricultura, pecuária, produção florestal, pesca e aquicultura;Admissões;622.1
2011;Agricultura, pecuária, produção florestal, pesca e aquicultura;Demissões;417.973125
2011;Alojamento e alimentação;Admissões;706.9111547344111
2011;Alojamento e alimentação;Demissões;781.6386595030222
2011;Artes, cultura, esporte e recreação;Admissões;682.8643859649123
2011;Artes, cultura, esporte e recreação;Demissões;766.6549339207049
2011;Atividades administrativas e serviços complementares;Admissões;812.5035506487227
2011;Atividades administrativas e serviços complementares;Demissões;901.8909861219703
2011;Atividades financeiras, de seguros e serviços relacionados;Admissões;1559.0695837957826
2011;Atividades financeiras, de seguros e serviços relacionados;Demissões;2789.5412112932604
2011;Atividades imobiliárias;Admissões;940.921327014218
2011;Atividades imobiliárias;Demissões;1020.9855813953487
2011;Atividades profissionais, científicas e técnicas;Admissões;984.3448191293684
2011;Atividades profissionais, científicas e técnicas;Demissões;1012.2611342426418
2011;"Comércio; reparação de veículos automotores e motocicletas";Admissões;818.3819651927099
