ano;tamanho_estabelecimento;descricao_secao_cnae;size
2018;De 10 a 19;Transporte, armazenagem e correio;13
2018;De 10 a 19;Água, esgoto, atividades de gestão de resíduos e descontaminação;4
2018;De 100 a 249;Administração pública, defesa e seguridade social;2
2018;De 100 a 249;Alojamento e alimentação;3
2018;De 100 a 249;Atividades administrativas e serviços complementares;8
2018;De 100 a 249;Atividades financeiras, de seguros e serviços relacionados;3
2018;De 100 a 249;Atividades imobiliárias;1
2018;De 100 a 249;Atividades profissionais, científicas e técnicas;4
2018;De 100 a 249;"Comércio; reparação de veículos automotores e motocicletas";15
2018;De 100 a 249;Construção;6
2018;De 100 a 249;Educação;3
2018;De 100 a 249;Indústrias de transformação;16
2018;De 100 a 249;Informação e comunicação;6
2018;De 100 a 249;Outras atividades de serviços;3
2018;De 100 a 249;Saúde humana e serviços sociais;4
2018;De 100 a 249;Transporte, armazenagem e correio;5
2018;De 20 a 49;Alojamento e alimentação;6
2018;De 20 a 49;Artes, cultura, esporte e recreação;4
2018;De 20 a 49;Atividades administrativas e serviços complementares;20
2018;De 20 a 49;Atividades financeiras, de seguros e serviços relacionados;5
2018;De 20 a 49;Atividades imobiliárias;1
2018;De 20 a 49;Atividades profissionais, científicas e técnicas;9
2018;De 20 a 49;"Comércio; reparação de veículos automotores e motocicletas";75
2018;De 20 a 49;Construção;16
2018;De 20 a 49;Educação;8
2018;De 20 a 49;Indústrias de transformação;50
2018;De 20 a 49;Informação e comunicação;7
2018;De 20 a 49;Outras atividades de serviços;6
2018;De 20 a 49;Saúde humana e serviços sociais;10
2018;De 20 a 49;Transporte, armazenagem e correio;12
2018;De 20 a 49;Água, esgoto, atividades de gestão de resíduos e descontaminação;2
2018;De 250 a 499;Atividades administrativas e serviços complementares;1
2018;De 250 a 499;"Comércio; reparação de veículos automotores e motocicletas";10
2018;De 250 a 499;Construção;2
2018;De 250 a 499;Educação;1
2018;De 250 a 499;Indústrias de transformação;7
2018;De 250 a 499;Informação e comunicação;2
2018;De 250 a 499;Outras atividades de serviços;2
2018;De 250 a 499;Transporte, armazenagem e correio;2
2018;De 5 a 9;Agricultura, pecuária, produção florestal, pesca e aquicultura;1
2018;De 5 a 9;Alojamento e alimentação;9
2018;De 5 a 9;Artes, cultura, esporte e recreação;5
2018;De 5 a 9;Atividades administrativas e serviços complementares;26
2018;De 5 a 9;Atividades financeiras, de seguros e serviços relacionados;10
2018;De 5 a 9;Atividades imobiliárias;4
2018;De 5 a 9;Atividades profissionais, científicas e técnicas;12
2018;De 5 a 9;"Comércio; reparação de veículos automotores e motocicletas";111
2018;De 5 a 9;Construção;21
2018;De 5 a 9;Educação;13
2018;De 5 a 9;Indústrias de transformação;72
2018;De 5 a 9;Informação e comunicação;14
2018;De 5 a 9;Outras atividades de serviços;14
2018;De 5 a 9;Saúde humana e serviços sociais;19
2018;De 5 a 9;Transporte, armazenagem e correio;15
2018;De 5 a 9;Água, esgoto, atividades de gestão de resíduos e descontaminação;4
2018;De 50 a 99;Administração pública, defesa e seguridade social;1
2018;De 50 a 99;Alojamento e alimentação;4
2018;De 50 a 99;Artes, cultura, esporte e recreação;1
2018;De 50 a 99;Atividades administrativas e serviços complementares;11
2018;De 50 a 99;Atividades financeiras, de seguros e serviços relacionados;3
2018;De 50 a 99;Atividades imobiliárias;1
2018;De 50 a 99;Atividades profissionais, científicas e técnicas;7
2018;De 50 a 99;"Comércio; reparação de veículos automotores e motocicletas";34
2018;De 50 a 99;Construção;6
2018;De 50 a 99;Educação;4
2018;De 50 a 99;Indústrias de transformação;38
2018;De 50 a 99;Informação e comunicação;6
2018;De 50 a 99;Outras atividades de serviços;6
2018;De 50 a 99;Saúde humana e serviços sociais;9
2018;De 50 a 99;Transporte, armazenagem e correio;9
2018;De 50 a 99;Água, esgoto, atividades de gestão de resíduos e descontaminação;2
2018;De 500 a 999;Atividades administrativas e serviços complementares;2
2018;De 500 a 999;Atividades financeiras, de seguros e serviços relacionados;2
2018;De 500 a 999;"Comércio; reparação de veículos automotores e motocicletas";2
2018;De 500 a 999;Educação;1
2018;De 500 a 999;Indústrias de transformação;3
2018;De 500 a 999;Informação e comunicação;2
2018;De 500 a 999;Saúde humana e serviços sociais;2
2018;De 500 a 999;Transporte, armazenagem e correio;1
2018;De 500 a 999;Água, esgoto, atividades de gestão de resíduos e descontaminação;1
2018;Zero;Administração pública, defesa e seguridade social;3
2018;Zero;Agricultura, pecuária, produção florestal, pesca e aquicultura;9
2018;Zero;Alojamento e alimentação;12
2018;Zero;Artes, cultura, esporte e recreação;17
2018;Zero;Atividades administrativas e serviços complementares;42
2018;Zero;Atividades financeiras, de seguros e serviços relacionados;34
2018;Zero;Atividades imobiliárias;6
2018;Zero;Atividades profissionais, científicas e técnicas;36
2018;Zero;"Comércio; reparação de veículos automotores e motocicletas";183
2018;Zero;Construção;38
2018;Zero;Educação;20
2018;Zero;Eletricidade e gás;3
2018;Zero;Indústrias de transformação;139
2018;Zero;Indústrias extrativas;1
2018;Zero;Informação e comunicação;36
2018;Zero;Outras atividades de serviços;27
2018;Zero;Saúde humana e serviços sociais;36
2018;Zero;Serviços domésticos;1
2018;Zero;Transporte, armazenagem e correio;37
2018;Zero;Água, esgoto, atividades de gestão de resíduos e descontaminação;7
2019;1000 ou mais;Administração pública, defesa e seguridade social;1
2019;1000 ou mais;Atividades financeiras, de seguros e serviços relacionados;1
2019;1000 ou mais;Atividades profissionais, científicas e técnicas;1
2019;1000 ou mais;"Comércio; reparação de veículos automotores e motocicletas";4
2019;1000 ou mais;Informação e comunicação;2
2019;1000 ou mais;Transporte, armazenagem e correio;1
2019;Ate 4;Administração pública, defesa e seguridade social;1
2019;Ate 4;Agricultura, pecuária, produção florestal, pesca e aquicultura;3
2019;Ate 4;Alojamento e alimentação;9
2019;Ate 4;Artes, cultura, esporte e recreação;11
2019;Ate 4;Atividades administrativas e serviços complementares;33
2019;Ate 4;Atividades financeiras, de seguros e serviços relacionados;14
2019;Ate 4;Atividades imobiliárias;5
2019;Ate 4;Atividades profissionais, científicas e técnicas;25
2019;Ate 4;"Comércio; reparação de veículos automotores e motocicletas";144
2019;Ate 4;Construção;30
2019;Ate 4;Educação;16
2019;Ate 4;Eletricidade e gás;1
2019;Ate 4;Indústrias de transformação;96
2019;Ate 4;Informação e comunicação;19
2019;Ate 4;Outras atividades de serviços;22
2019;Ate 4;Saúde humana e serviços sociais;25
2019;Ate 4;Transporte, armazenagem e correio;23
2019;Ate 4;Água, esgoto, atividades de gestão de resíduos e descontaminação;4
2019;De 10 a 19;Alojamento e alimentação;7
2019;De 10 a 19;Artes, cultura, esporte e recreação;5
2019;De 10 a 19;Atividades administrativas e serviços complementares;19
2019;De 10 a 19;Atividades financeiras, de seguros e serviços relacionados;9
2019;De 10 a 19;Atividades imobiliárias;3
2019;De 10 a 19;Atividades profissionais, científicas e técnicas;11
2019;De 10 a 19;"Comércio; reparação de veículos automotores e motocicletas";92
2019;De 10 a 19;Construção;19
2019;De 10 a 19;Educação;9
2019;De 10 a 19;Indústrias de transformação;57
2019;De 10 a 19;Informação e comunicação;12
2019;De 10 a 19;Outras atividades de serviços;13
2019;De 10 a 19;Saúde humana e serviços sociais;13
2019;De 10 a 19;Transporte, armazenagem e correio;15
2019;De 10 a 19;Água, esgoto, atividades de gestão de resíduos e descontaminação;4
2019;De 100 a 249;Administração pública, defesa e seguridade social;2
2019;De 100 a 249;Alojamento e alimentação;3
2019;De 100 a 249;Artes, cultura, esporte e recreação;1
2019;De 100 a 249;Atividades administrativas e serviços complementares;9
2019;De 100 a 249;Atividades financeiras, de seguros e serviços relacionados;2
2019;De 100 a 249;Atividades imobiliárias;1
2019;De 100 a 249;Atividades profissionais, científicas e técnicas;7
2019;De 100 a 249;"Comércio; reparação de veículos automotores e motocicletas";12
2019;De 100 a 249;Construção;5
2019;De 100 a 249;Educação;4
2019;De 100 a 249;Indústrias de transformação;14
2019;De 100 a 249;Indústrias extrativas;1
2019;De 100 a 249;Informação e comunicação;5
2019;De 100 a 249;Outras atividades de serviços;3
2019;De 100 a 249;Saúde humana e serviços sociais;2
2019;De 100 a 249;Transporte, armazenagem e correio;3
2019;De 20 a 49;Alojamento e alimentação;6
2019;De 20 a 49;Artes, cultura, esporte e recreação;5
2019;De 20 a 49;Atividades administrativas e serviços complementares;21
2019;De 20 a 49;Atividades financeiras, de seguros e serviços relacionados;6
2019;De 20 a 49;Atividades profissionais, científicas e técnicas;8
2019;De 20 a 49;"Comércio; reparação de veículos automotores e motocicletas";84
2019;De 20 a 49;Construção;20
2019;De 20 a 49;Educação;8
2019;De 20 a 49;Indústrias de transformação;46
2019;De 20 a 49;Informação e comunicação;6
2019;De 20 a 49;Outras atividades de serviços;7
2019;De 20 a 49;Saúde humana e serviços sociais;12
2019;De 20 a 49;Transporte, armazenagem e correio;12
2019;De 20 a 49;Água, esgoto, atividades de gestão de resíduos e descontaminação;3
2019;De 250 a 499;Administração pública, defesa e seguridade social;1
2019;De 250 a 499;Atividades administrativas e serviços complementares;4
2019;De 250 a 499;Atividades financeiras, de seguros e serviços relacionados;1
2019;De 250 a 499;"Comércio; reparação de veículos automotores e motocicletas";6
2019;De 250 a 499;Construção;2
2019;De 250 a 499;Educação;1
2019;De 250 a 499;Indústrias de transformação;7
2019;De 250 a 499;Informação e comunicação;1
2019;De 250 a 499;Outras atividades de serviços;1
2019;De 250 a 499;Saúde humana e serviços sociais;1
2019;De 250 a 499;Transporte, armazenagem e correio;3
2019;De 5 a 9;Administração pública, defesa e seguridade social;1
2019;De 5 a 9;Agricultura, pecuária, produção florestal, pesca e aquicultura;1
2019;De 5 a 9;Alojamento e alimentação;10
2019;De 5 a 9;Artes, cultura, esporte e recreação;4
2019;De 5 a 9;Atividades administrativas e serviços complementares;24
2019;De 5 a 9;Atividades financeiras, de seguros e serviços relacionados;10
2019;De 5 a 9;Atividades imobiliárias;4
2019;De 5 a 9;Atividades profissionais, científicas e técnicas;13
2019;De 5 a 9;"Comércio; reparação de veículos automotores e motocicletas";106
2019;De 5 a 9;Construção;22
2019;De 5 a 9;Educação;12
2019;De 5 a 9;Indústrias de transformação;66
2019;De 5 a 9;Informação e comunicação;12
2019;De 5 a 9;Outras atividades de serviços;13
2019;De 5 a 9;Saúde humana e serviços sociais;22
2019;De 5 a 9;Transporte, armazenagem e correio;15
2019;De 5 a 9;Água, esgoto, atividades de gestão de resíduos e descontaminação;2
2019;De 50 a 99;Administração pública, defesa e seguridade social;1
2019;De 50 a 99;Alojamento e alimentação;6
2019;De 50 a 99;Atividades administrativas e serviços complementares;11
2019;De 50 a 99;Atividades financeiras, de seguros e serviços relacionados;4
2019;De 50 a 99;Atividades imobiliárias;1
2019;De 50 a 99;Atividades profissionais, científicas e técnicas;6
2019;De 50 a 99;"Comércio; reparação de veículos automotores e motocicletas";36
2019;De 50 a 99;Construção;5
2019;De 50 a 99;Educação;4
2019;De 50 a 99;Indústrias de transformação;40
2019;De 50 a 99;Informação e comunicação;4
2019;De 50 a 99;Outras atividades de serviços;5
2019;De 50 a 99;Saúde humana e serviços sociais;9
2019;De 50 a 99;Transporte, armazenagem e correio;11
2019;De 50 a 99;Água, esgoto, atividades de gestão de resíduos e descontaminação;3
2019;De 500 a 999;Atividades administrativas e serviços complementares;2
2019;De 500 a 999;Atividades financeiras, de seguros e serviços relacionados;2
2019;De 500 a 999;"Comércio; reparação de veículos automotores e motocicletas";2
2019;De 500 a 999;Educação;1
2019;De 500 a 999;Indústrias de transformação;3
2019;De 500 a 999;Informação e comunicação;2
2019;De 500 a 999;Saúde humana e serviços sociais;1
2019;De 500 a 999;Transporte, armazenagem e correio;1
2019;De 500 a 999;Água, esgoto, atividades de gestão de resíduos e descontaminação;1
2019;Zero;Administração pública, defesa e seguridade social;4
2019;Zero;Agricultura, pecuária, produção florestal, pesca e aquicultura;8
2019;Zero;Alojamento e alimentação;12
2019;Zero;Artes, cultura, esporte e recreação;17
2019;Zero;Atividades administrativas e serviços complementares;41
2019;Zero;Atividades financeiras, de seguros e serviços relacionados;28
2019;Zero;Atividades imobiliárias;6
2019;Zero;Atividades profissionais, científicas e técnicas;35
2019;Zero;"Comércio; reparação de veículos automotores e motocicletas";185
2019;Zero;Construção;38
2019;Zero;Educação;20
2019;Zero;Eletricidade e gás;2
2019;Zero;Indústrias de transformação;144
2019;Zero;Indústrias extrativas;1
2019;Zero;Informação e comunicação;38
2019;Zero;Organismos internacionais e outras instituições extraterritoriais;1
2019;Zero;Outras atividades de serviços;28
2019;Zero;Saúde humana e serviços sociais;33
2019;Zero;Serviços domésticos;1
2019;Zero;Transporte, armazenagem e correio;33
2019;Zero;Água, esgoto, atividades de gestão de resíduos e descontaminação;9
2020;1000 ou mais;Administração pública, defesa e seguridade social;1
2020;1000 ou mais;Atividades administrativas e serviços complementares;3
2020;1000 ou mais;Atividades financeiras, de seguros e serviços relacionados;1
2020;1000 ou mais;Atividades profissionais, científicas e técnicas;1
2020;1000 ou mais;"Comércio; reparação de veículos automotores e motocicletas";4
2020;1000 ou mais;Informação e comunicação;2
