ano;tamanho_estabelecimento;descricao_secao_cnae;size
2021;Ate 4;Construção;29
2021;Ate 4;Educação;14
2021;Ate 4;Indústrias de transformação;96
2021;Ate 4;Indústrias extrativas;1
2021;Ate 4;Informação e comunicação;22
2021;Ate 4;Outras atividades de serviços;22
2021;Ate 4;Saúde humana e serviços sociais;28
2021;Ate 4;Transporte, armazenagem e correio;23
2021;Ate 4;Água, esgoto, atividades de gestão de resíduos e descontaminação;4
2021;De 10 a 19;Alojamento e alimentação;6
2021;De 10 a 19;Artes, cultura, esporte e recreação;5
2021;De 10 a 19;Atividades administrativas e serviços complementares;24
2021;De 10 a 19;Atividades financeiras, de seguros e serviços relacionados;8
2021;De 10 a 19;Atividades imobiliárias;3
2021;De 10 a 19;Atividades profissionais, científicas e técnicas;12
2021;De 10 a 19;"Comércio; reparação de veículos automotores e motocicletas";90
