mes_referencia;nome_municipio;total_repasses;n_favorecidos;media_repasses
2024-04-01;Santo André (SP);47783000.0;37241;641.4514310261504
2024-04-01;Sorocaba (SP);42182758.0;32331;652.196388261851
2024-04-01;São Bernardo do Campo (SP);51943626.0;41192;630.3838106796117
2024-04-01;São José dos Campos (SP);50860562.0;40230;632.0908977928018
2024-05-01;Osasco (SP);61145314.0;46542;656.389569959422
2024-05-01;Ribeirão Preto (SP);32482418.0;24915;649.8563140204866
2024-05-01;Santo André (SP);48003096.0;37259;642.9387908172832
2024-05-01;Sorocaba (SP);42069742.0;32156;651.6177008147207
2024-05-01;São Bernardo do Campo (SP);51675506.0;40826;631.4365698086464
2024-05-01;São José dos Campos (SP);50517844.0;39768;633.9295269168026
2024-06-01;Osasco (SP);63073818.0;47668;661.4423331026238
2024-06-01;Ribeirão Preto (SP);32414866.0;24793;653.6573099415205
2024-06-01;Santo André (SP);47615848.0;36816;646.6381661144005
2024-06-01;Sorocaba (SP);41647726.0;31759;655.6219066809394
2024-06-01;São Bernardo do Campo (SP);53667524.0;42097;637.3058306614416
2024-06-01;São José dos Campos (SP);50147956.0;39377;636.7670975442517
2024-07-01;Osasco (SP);60069204.0;45998;651.8067232361814
2024-07-01;Ribeirão Preto (SP);30987446.0;24062;639.5229702398151
2024-07-01;Santo André (SP);48146804.0;37402;641.2733617474694
2024-07-01;Sorocaba (SP);42578342.0;32612;649.3372476056853
2024-07-01;São Bernardo do Campo (SP);51897564.0;41232;625.8600130242879
2024-07-01;São José dos Campos (SP);48258096.0;38251;628.6553071752384
2024-08-01;Osasco (SP);59639510.0;45556;654.5017668620092
2024-08-01;Ribeirão Preto (SP);31058174.0;24087;644.5744230449942
2024-08-01;Santo André (SP);48010656.0;37210;645.0790852659017
2024-08-01;Sorocaba (SP);42370626.0;32440;652.9809209715202
2024-08-01;São Bernardo do Campo (SP);51779120.0;41061;630.4378317829835
2024-08-01;São José dos Campos (SP);47967890.0;37947;632.021318646569
2024-09-01;Osasco (SP);59565438.0;45381;655.2709291324724
2024-09-01;Ribeirão Preto (SP);31003062.0;23952;643.5107725517871
2024-09-01;Santo André (SP);47853828.0;36998;643.2311952255498
2024-09-01;Sorocaba (SP);41929002.0;32005;651.7191308132305
2024-09-01;São Bernardo do Campo (SP);51541708.0;40769;628.5727456767238
2024-09-01;São José dos Campos (SP);47926802.0;37831;630.516260590433
2024-10-01;Osasco (SP);57079032.0;43980;648.8760657526772
2024-10-01;Ribeirão Preto (SP);30032506.0;23491;639.1526772793054
2024-10-01;Santo André (SP);47838342.0;37185;643.1267745751775
2024-10-01;Sorocaba (SP);41983888.0;32189;652.0047210833644
2024-10-01;São Bernardo do Campo (SP);50771406.0;40478;626.9777717404727
2024-10-01;São José dos Campos (SP);46561772.0;37015;628.9581521004998
2024-11-01;Osasco (SP);58219744.0;43645;665.8250686184813
2024-11-01;Ribeirão Preto (SP);30849904.0;23306;657.7524199394483
2024-11-01;Santo André (SP);48394062.0;36791;654.787871407696
2024-11-01;Sorocaba (SP);43392018.0;32331;668.3303761205065
2024-11-01;São Bernardo do Campo (SP);51624030.0;40279;637.9637913989125
2024-11-01;São José dos Campos (SP);47641494.0;36371;651.1959267359213
2024-12-01;Osasco (SP);58060376.0;43447;668.143984901839
2024-12-01;Ribeirão Preto (SP);30582036.0;23036;663.7302717249761
2024-12-01;Santo André (SP);49460458.0;37461;660.1593390459411
2024-12-01;Sorocaba (SP);43637610.0;32420;672.9422015236098
2024-12-01;São Bernardo do Campo (SP);52733182.0;41002;643.024851234026
2024-12-01;São José dos Campos (SP);47546208.0;36233;656.117461982171
2025-01-01;Osasco (SP);56341530.0;42599;661.3476617522772
2025-01-01;Ribeirão Preto (SP);30200870.0;22924;658.6885496183206
2025-01-01;Santo André (SP);49052430.0;37509;653.9452073056925
2025-01-01;Sorocaba (SP);42522350.0;31777;669.0743304906064
2025-01-01;São Bernardo do Campo (SP);51791997.0;40778;635.3520983353166
2025-01-01;São José dos Campos (SP);46515968.0;35743;650.7550083939564
2025-02-01;Osasco (SP);55882088.0;42276;660.9744869596074
2025-02-01;Ribeirão Preto (SP);30214522.0;22925;658.9575591032016
2025-02-01;Santo André (SP);49132440.0;37534;654.5755395683453
2025-02-01;Sorocaba (SP);42442754.0;31746;668.474043974044
2025-02-01;São Bernardo do Campo (SP);51726581.0;40676;636.1650596482598
2025-02-01;São José dos Campos (SP);46290196.0;35578;650.6275176746735
2025-03-01;Osasco (SP);53890056.0;41144;654.7842822774659
2025-03-01;Ribeirão Preto (SP);28558016.0;21917;651.4591783196843
2025-03-01;Santo André (SP);47743780.0;36789;648.4635862331241
2025-03-01;Sorocaba (SP);41107122.0;31061;661.4178921962992
