ano;mes;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2022;4;"Comércio; Reparação De Veículos Automotores E Motocicletas";305;7661385.4000000255
2020;10;Saúde Humana E Serviços Sociais;-4;337882.94999999995
2021;6;Atividades Imobiliárias;5;58067.090000000004
2021;10;Administração Pública, Defesa E Seguridade Social;0;10067.57
2020;2;Outras Atividades De Serviços;-24;322375.1700000001
2020;1;Educação;113;1899596.1299999994
2020;8;Informação E Comunicação;-22;452931.20000000007
2020;9;Informação E Comunicação;-15;668766.3399999999
2022;9;Saúde Humana E Serviços Sociais;126;1215460.6100000003
2020;4;"Comércio; Reparação De Veículos Automotores E Motocicletas";-1153;4552199.610000003
2020;12;Administração Pública, Defesa E Seguridade Social;-5;15927.519999999999
2024;5;Alojamento E Alimentação;17;2186704.2100000037
2024;6;Transporte, Armazenagem E Correio;374;6530050.480000001
2022;9;Atividades Administrativas E Serviços Complementares;617;9213562.449999904
2022;8;Alojamento E Alimentação;7;1340893.8400000008
2012;2;Informação E Comunicação;-50;821872.15
2010;8;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-6;27125.0
2024;2;Atividades Imobiliárias;20;117257.29000000002
2022;5;Atividades Administrativas E Serviços Complementares;683;10171170.719999885
2024;6;Artes, Cultura, Esporte E Recreação;3;107561.84
2022;1;Atividades Administrativas E Serviços Complementares;-852;10019943.30999986
2022;9;Alojamento E Alimentação;45;1219075.4000000018
2010;8;Artes, Cultura, Esporte E Recreação;-3;15566.0
2010;8;Outras Atividades De Serviços;22;153348.0
2014;2;Transporte, Armazenagem E Correio;-39;1389118.0
2021;3;Artes, Cultura, Esporte E Recreação;-9;72494.58999999998
2022;5;Educação;42;9691436.249999993
2020;10;Transporte, Armazenagem E Correio;145;1739875.5599999987
2022;6;Atividades Imobiliárias;5;68592.12
2020;12;Transporte, Armazenagem E Correio;13;2222563.2600000007
2022;10;Administração Pública, Defesa E Seguridade Social;34;96120.52
2012;2;Construção;151;908242.38
2010;8;Indústrias De Transformação;-30;1821273.44
2020;8;Indústrias De Transformação;65;2286335.0700000017
2021;2;Atividades Profissionais, Científicas E Técnicas;189;5072938.350000003
2020;9;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-6;76463.16
2020;4;Atividades Imobiliárias;-11;30027.550000000003
2014;8;Informação E Comunicação;5;1082113.0
2021;6;Atividades Administrativas E Serviços Complementares;550;7567018.259999982
2021;11;Indústrias De Transformação;67;2513276.579999998
2022;8;Atividades Profissionais, Científicas E Técnicas;115;7336251.540000002
2012;8;Saúde Humana E Serviços Sociais;161;460886.12
2021;1;Transporte, Armazenagem E Correio;40;1754744.9
2021;6;Transporte, Armazenagem E Correio;247;3597631.9600000065
2022;3;Construção;18;2320268.399999977
2020;2;Educação;236;3501228.6900000004
2022;3;Atividades Administrativas E Serviços Complementares;-682;10424914.889999965
2020;10;"Comércio; Reparação De Veículos Automotores E Motocicletas";515;5064976.090000004
2021;11;Outras Atividades De Serviços;6;378230.36
2020;3;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-6;49190.18
2010;8;Atividades Profissionais, Científicas E Técnicas;-84;355023.03
2011;3;Atividades Administrativas E Serviços Complementares;98;1476519.89
2014;2;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-16;54635.0
2021;5;Atividades Financeiras, De Seguros E Serviços Relacionados;0;209286.42000000007
2022;10;Atividades Imobiliárias;3;66729.47
2020;5;Atividades Profissionais, Científicas E Técnicas;-15;1255342.4800000007
2021;9;Saúde Humana E Serviços Sociais;-4;674942.5100000001
2010;9;Transporte, Armazenagem E Correio;51;866482.32
2022;3;Outras Atividades De Serviços;11;328718.68000000005
2014;12;Atividades Administrativas E Serviços Complementares;55;2046340.64
2022;4;Atividades Profissionais, Científicas E Técnicas;46;9295880.60000001
2022;3;"Comércio; Reparação De Veículos Automotores E Motocicletas";-112;8199919.780000017
2021;1;Outras Atividades De Serviços;0;259610.84999999998
2024;6;Informação E Comunicação;35;1440733.1199999999
2022;10;Atividades Financeiras, De Seguros E Serviços Relacionados;-7;404545.29000000004
2014;12;Saúde Humana E Serviços Sociais;-16;321412.19
2014;1;Indústrias De Transformação;-56;2154952.89
2020;8;Atividades Profissionais, Científicas E Técnicas;295;3276130.869999999
2020;10;Atividades Financeiras, De Seguros E Serviços Relacionados;-511;4224174.4
2022;2;Administração Pública, Defesa E Seguridade Social;-3;12044.99
2024;11;Artes, Cultura, Esporte E Recreação;-19;189557.11
2020;3;Artes, Cultura, Esporte E Recreação;-30;118743.07999999997
2014;2;Educação;144;759766.15
2021;6;Atividades Financeiras, De Seguros E Serviços Relacionados;-7;258432.64
2020;8;Transporte, Armazenagem E Correio;114;1539200.2500000028
2022;5;Artes, Cultura, Esporte E Recreação;4;126244.53
2024;12;Educação;-296;8340459.280000001
2021;5;Atividades Administrativas E Serviços Complementares;525;8538978.52999987
2024;11;Atividades Financeiras, De Seguros E Serviços Relacionados;146;5472926.870000001
2022;8;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-1;9101.3
2020;9;Saúde Humana E Serviços Sociais;24;422363.51999999996
2020;10;Outras Atividades De Serviços;18;146969.15999999997
2023;1;Outras Atividades De Serviços;-12;239429.39
2020;4;Transporte, Armazenagem E Correio;-436;1389948.720000003
2014;8;Atividades Financeiras, De Seguros E Serviços Relacionados;19;545886.42
2022;6;Educação;-83;13260913.780000003
2021;1;Educação;34;23866998.16
2021;10;"Comércio; Reparação De Veículos Automotores E Motocicletas";374;6520514.040000016
2021;10;Educação;86;938257.4600000003
2022;1;Transporte, Armazenagem E Correio;44;2963704.219999999
2022;9;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-3;7002.77
2020;3;Saúde Humana E Serviços Sociais;-43;390443.91000000015
2012;2;Atividades Profissionais, Científicas E Técnicas;-15;330819.34
2022;3;Transporte, Armazenagem E Correio;318;3599055.7699999902
2024;5;Atividades Financeiras, De Seguros E Serviços Relacionados;41;4203534.369999999
2022;9;Indústrias De Transformação;98;2399576.73
2020;2;"Comércio; Reparação De Veículos Automotores E Motocicletas";22;5046602.010000003
2014;12;Alojamento E Alimentação;-47;547834.63
2020;5;Construção;133;1741583.2799999914
2021;2;Artes, Cultura, Esporte E Recreação;-16;54403.64
2021;1;Informação E Comunicação;-13;866494.9400000001
2024;5;Construção;163;3710820.280000006
2020;7;Informação E Comunicação;26;724615.03
2022;6;Saúde Humana E Serviços Sociais;214;1275360.9999999981
2021;10;Indústrias De Transformação;95;2313725.9999999995
2021;10;Atividades Financeiras, De Seguros E Serviços Relacionados;-38;462569.28000000026
2021;11;Atividades Administrativas E Serviços Complementares;988;10975679.390000075
2011;3;"Comércio; Reparação De Veículos Automotores E Motocicletas";260;3458540.5
2011;3;Outras Atividades De Serviços;35;153245.83
2014;12;Atividades Profissionais, Científicas E Técnicas;-16;175793.25
2022;12;Indústrias De Transformação;-204;2075429.1699999995
2020;7;Construção;175;3948623.999999999
2020;7;Atividades Financeiras, De Seguros E Serviços Relacionados;-29;444798.19999999995
2021;2;Educação;149;1312261.3200000005
2021;4;Construção;198;2514950.4699999895
2024;11;Administração Pública, Defesa E Seguridade Social;5;20953.03
2021;5;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1;1094.5
2020;4;Alojamento E Alimentação;-351;650717.3500000001
2010;8;Alojamento E Alimentação;140;896454.88
2020;4;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-1;1039.0
2021;11;Construção;-60;2124403.6699999864
2022;5;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-3;9574.26
2022;2;Atividades Imobiliárias;-10;83133.82999999997
2020;12;Educação;-191;22508055.6
2020;3;Construção;25;1516357.9999999972
2014;12;"Comércio; Reparação De Veículos Automotores E Motocicletas";-374;5145120.26
2012;8;"Comércio; Reparação De Veículos Automotores E Motocicletas";207;3882204.29
2022;4;Educação;45;3083650.9699999997
2022;4;Saúde Humana E Serviços Sociais;267;1543096.2799999972
2020;10;Atividades Imobiliárias;10;59455.47
2021;9;Indústrias De Transformação;213;1959589.399999999
2012;2;"Comércio; Reparação De Veículos Automotores E Motocicletas";-114;4184597.42
2022;5;Atividades Imobiliárias;-6;75951.37
2022;12;Transporte, Armazenagem E Correio;191;3048344.369999999
2014;12;Informação E Comunicação;35;844769.5499999999
