ano;mes;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2020;6;Alojamento E Alimentação;-103;294090.17
2023;6;Informação E Comunicação;0;2396076.1900000004
2024;8;Atividades Administrativas E Serviços Complementares;169;6364475.560000052
2021;7;Indústrias De Transformação;105;1814679.0999999992
2024;7;Artes, Cultura, Esporte E Recreação;-8;84934.55999999998
2024;8;Artes, Cultura, Esporte E Recreação;16;148470.73000000004
2021;7;Construção;234;2072893.7699999968
2021;8;Construção;163;2196573.479999988
2024;9;Informação E Comunicação;100;1907085.1000000015
2024;10;Outras Atividades De Serviços;6;435783.44999999995
2021;7;Atividades Profissionais, Científicas E Técnicas;100;5075905.46
2024;7;Transporte, Armazenagem E Correio;802;8208753.130000001
2016;12;Outras Atividades De Serviços;-46;182571.72
2021;8;Transporte, Armazenagem E Correio;636;4836393.470000007
2023;5;Informação E Comunicação;163;2914572.620000001
2023;2;Artes, Cultura, Esporte E Recreação;35;195217.11000000002
2021;8;Informação E Comunicação;187;1666904.7399999986
2023;4;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1;103674.62000000001
2022;7;Atividades Administrativas E Serviços Complementares;318;9934630.09999993
2022;7;Atividades Profissionais, Científicas E Técnicas;92;7799770.510000003
2022;11;Outras Atividades De Serviços;4;213884.38
2024;3;Alojamento E Alimentação;-24;1832864.010000004
2023;12;Administração Pública, Defesa E Seguridade Social;-2;5728.8
2023;3;Indústrias De Transformação;57;3124478.3200000003
2024;4;Indústrias De Transformação;98;3096697.290000001
2022;11;Alojamento E Alimentação;82;1296232.2000000002
2021;8;Atividades Administrativas E Serviços Complementares;961;7918016.73999984
2024;4;Artes, Cultura, Esporte E Recreação;7;194271.37
2025;1;Informação E Comunicação;-263;2533649.309999997
2020;6;Construção;0;1797063.9999999925
2023;6;Artes, Cultura, Esporte E Recreação;13;138138.55000000005
2009;12;Educação;-254;410786.32999999996
2023;2;Informação E Comunicação;-42;1429831.6200000003
2025;1;Atividades Financeiras, De Seguros E Serviços Relacionados;8;4683086.62
2023;5;Indústrias De Transformação;-94;2959412.920000002
2024;4;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;9;143018.13999999996
2024;9;Saúde Humana E Serviços Sociais;-61;1817003.4999999993
2024;10;Construção;0;3848888.2499999907
2023;2;Outras Atividades De Serviços;10;293734.62000000017
2023;3;Outras Atividades De Serviços;14;380174.23999999993
2023;2;Saúde Humana E Serviços Sociais;74;1182194.16
2008;11;Informação E Comunicação;55;227854.0
2022;11;Informação E Comunicação;16;1453301.4799999997
2024;8;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;9;98733.16000000002
2024;4;Saúde Humana E Serviços Sociais;-31;1707285.1100000015
2024;10;Atividades Profissionais, Científicas E Técnicas;44;5108508.489999998
2024;3;Transporte, Armazenagem E Correio;951;5426267.670000018
2022;7;Informação E Comunicação;-59;1500728.3399999996
2023;12;Indústrias De Transformação;-119;2207000.989999999
2023;12;Atividades Profissionais, Científicas E Técnicas;2;4568647.54
2020;11;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;4;54025.18999999999
2016;12;Indústrias De Transformação;-204;1220123.97
2020;11;Indústrias De Transformação;168;1794128.539999999
2024;3;Administração Pública, Defesa E Seguridade Social;-3;8730.4
2023;5;"Comércio; Reparação De Veículos Automotores E Motocicletas";43;7778193.320000002
2023;3;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;2;19659.149999999998
2023;12;Outras Atividades De Serviços;-2;267493.7100000001
2009;12;Administração Pública, Defesa E Seguridade Social;-499;1040575.0
2022;7;Atividades Financeiras, De Seguros E Serviços Relacionados;-23;447702.57
2020;11;Saúde Humana E Serviços Sociais;55;398685.16000000003
2023;3;Atividades Administrativas E Serviços Complementares;-99;9095462.879999949
2025;1;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-1;2431.88
2008;11;Atividades Administrativas E Serviços Complementares;-1667;2120765.38
2024;3;Educação;79;1068538.789999999
2024;10;Educação;-5;886584.4900000003
2025;1;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-15;103070.53
2016;12;Atividades Financeiras, De Seguros E Serviços Relacionados;-72;1282952.19
2021;7;"Comércio; Reparação De Veículos Automotores E Motocicletas";712;5881450.539999992
2024;7;Atividades Administrativas E Serviços Complementares;273;5838010.790000017
2008;11;Transporte, Armazenagem E Correio;-15;588675.0
2021;8;Atividades Financeiras, De Seguros E Serviços Relacionados;-9;338740.25
2020;11;"Comércio; Reparação De Veículos Automotores E Motocicletas";795;5144884.809999998
2022;11;Saúde Humana E Serviços Sociais;34;1044632.0100000004
2023;12;Atividades Financeiras, De Seguros E Serviços Relacionados;98;2487729.3699999987
2022;11;"Comércio; Reparação De Veículos Automotores E Motocicletas";466;7346293.700000003
2023;4;Educação;14;3119134.0700000003
2023;3;Alojamento E Alimentação;35;1551243.2499999993
2023;3;Informação E Comunicação;36;2140443.9999999995
2020;6;"Comércio; Reparação De Veículos Automotores E Motocicletas";-86;3737488.049999994
2023;6;Educação;-88;19934643.36
2024;7;Alojamento E Alimentação;-34;2300529.0399999996
2024;4;"Comércio; Reparação De Veículos Automotores E Motocicletas";87;9782725.29999995
2024;10;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-8;151158.82000000004
2013;11;Educação;-25;272931.68000000005
2021;7;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;3;5200.0
2024;7;Atividades Imobiliárias;8;99604.84
2024;8;Construção;145;3618329.409999992
2024;8;Informação E Comunicação;34;1723266.7699999986
2020;6;Educação;-123;11867035.610000001
2021;8;Atividades Profissionais, Científicas E Técnicas;127;5597507.12000001
2021;8;Outras Atividades De Serviços;11;299784.5299999999
2023;6;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-2;6184.0599999999995
2024;9;Construção;-75;3544158.869999999
2022;11;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;5;6909.42
2023;12;Educação;-305;26060594.620000023
2024;4;Atividades Administrativas E Serviços Complementares;106;5914338.260000021
2024;7;Atividades Profissionais, Científicas E Técnicas;76;4659308.990000002
2022;11;Construção;-21;2193640.17
2023;4;Atividades Imobiliárias;0;71186.88
2024;4;Transporte, Armazenagem E Correio;648;6792250.100000016
2023;2;Construção;233;2752719.4500000095
2020;6;Atividades Profissionais, Científicas E Técnicas;43;1163664.5900000003
2023;5;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-12;137522.90999999997
2023;6;Construção;182;2756894.8500000024
2023;6;Saúde Humana E Serviços Sociais;45;1166577.5900000003
2013;11;Artes, Cultura, Esporte E Recreação;-2;18828.0
2022;11;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;11;127945.65
2022;7;Artes, Cultura, Esporte E Recreação;5;95881.67
2024;7;Construção;87;4080969.699999986
2023;6;Outras Atividades De Serviços;-34;505846.5400000001
2021;7;Atividades Imobiliárias;2;48481.850000000006
2023;3;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;26;172322.36
2024;9;Atividades Financeiras, De Seguros E Serviços Relacionados;160;6286253.699999999
2009;12;Atividades Profissionais, Científicas E Técnicas;-75;109608.32
2022;7;Transporte, Armazenagem E Correio;278;3497710.250000002
2023;2;Indústrias De Transformação;38;2752871.779999998
2023;5;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-3;7810.589999999999
2023;3;"Comércio; Reparação De Veículos Automotores E Motocicletas";-83;9507661.390000002
2023;12;Alojamento E Alimentação;-19;1155701.4700000018
2022;11;Administração Pública, Defesa E Seguridade Social;1;26664.0
2024;7;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;10;113373.98000000007
2013;11;"Comércio; Reparação De Veículos Automotores E Motocicletas";542;4057043.5999999996
2023;4;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-2;13231.81
2023;6;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-14;99086.1
2023;12;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;5;131852.74
2025;1;Atividades Administrativas E Serviços Complementares;-189;6437759.450000001
2022;8;Administração Pública, Defesa E Seguridade Social;-7;26128.78
2022;7;Indústrias De Transformação;26;2164467.570000001
2023;3;Atividades Financeiras, De Seguros E Serviços Relacionados;-216;2817174.75
2024;7;Administração Pública, Defesa E Seguridade Social;75;243107.8300000002
2023;5;Artes, Cultura, Esporte E Recreação;-8;149674.22000000003
2013;11;Saúde Humana E Serviços Sociais;15;347088.61
2020;11;Outras Atividades De Serviços;18;139791.75
2023;12;Saúde Humana E Serviços Sociais;-109;1092194.2000000002
2020;11;Educação;-24;2112015.91
2024;10;Atividades Financeiras, De Seguros E Serviços Relacionados;195;6357208.199999998
2021;7;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1;68099.63
2022;7;Administração Pública, Defesa E Seguridade Social;-6;45426.2
2021;7;Outras Atividades De Serviços;3;231854.58
2022;7;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;11;125889.85000000003
2024;10;"Comércio; Reparação De Veículos Automotores E Motocicletas";328;11177231.909999961
2024;9;Alojamento E Alimentação;-23;1956260.3699999945
2020;6;Transporte, Armazenagem E Correio;85;1929687.549999999
2024;3;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;0;149536.44999999992
2024;7;Outras Atividades De Serviços;28;424082.0099999998
2023;3;Transporte, Armazenagem E Correio;604;4093427.5500000007
2024;8;Indústrias De Transformação;93;3064857.6099999994
2024;4;Atividades Imobiliárias;8;125701.76000000004
2022;7;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1;1485.42
2024;4;Construção;164;3472018.23000002
2016;12;Atividades Administrativas E Serviços Complementares;34;1596228.39
2020;6;Outras Atividades De Serviços;-41;116812.95999999998
2023;4;Atividades Profissionais, Científicas E Técnicas;-76;3792345.2600000026
2023;4;Artes, Cultura, Esporte E Recreação;-1;136298.81
2023;12;Transporte, Armazenagem E Correio;248;4208913.170000001
2024;10;Artes, Cultura, Esporte E Recreação;-12;130924.43
2025;1;Saúde Humana E Serviços Sociais;1;1520169.7799999993
2024;3;Atividades Imobiliárias;-6;103468.16000000002
2021;8;Educação;112;1016881.6899999996
2024;9;Educação;30;8654196.869999995
2016;12;"Comércio; Reparação De Veículos Automotores E Motocicletas";-143;4312407.91
2024;3;Outras Atividades De Serviços;0;436016.0399999998
2024;7;Saúde Humana E Serviços Sociais;87;1727515.9500000007
2024;10;Atividades Imobiliárias;-1;63527.7
2008;11;Construção;54;398773.0
2016;12;Alojamento E Alimentação;-35;483298.46
2020;11;Atividades Imobiliárias;1;21421.84
2024;8;"Comércio; Reparação De Veículos Automotores E Motocicletas";95;10599190.359999958
2025;1;Construção;50;3740625.959999991
2022;11;Atividades Administrativas E Serviços Complementares;1017;10023857.150000013
2022;11;Indústrias De Transformação;77;1726211.8299999994
2023;4;Transporte, Armazenagem E Correio;105;4044814.240000003
2020;11;Informação E Comunicação;72;1476357.8899999992
2024;7;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-2;8642.7
2023;2;Alojamento E Alimentação;-8;1262155.089999999
2023;2;Atividades Financeiras, De Seguros E Serviços Relacionados;-188;2335908.120000001
2023;4;Informação E Comunicação;63;2745764.3900000025
2024;3;Indústrias De Transformação;112;3027405.8700000006
2024;4;Outras Atividades De Serviços;17;406663.81999999995
2024;4;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-3;5338.76
2009;12;Atividades Administrativas E Serviços Complementares;47;1200953.49
2013;11;Atividades Profissionais, Científicas E Técnicas;1;208919.93000000002
2021;8;Saúde Humana E Serviços Sociais;58;851885.68
2020;11;Transporte, Armazenagem E Correio;482;2604452.370000001
2021;7;Atividades Financeiras, De Seguros E Serviços Relacionados;-31;390206.56999999995
2025;1;Indústrias De Transformação;178;3450786.1900000023
2009;12;Outras Atividades De Serviços;-77;120695.0
2021;8;Atividades Imobiliárias;-7;51511.52
2024;7;Indústrias De Transformação;59;2788543.3899999973
2025;1;"Comércio; Reparação De Veículos Automotores E Motocicletas";-335;11738850.759999989
2023;6;Atividades Imobiliárias;-3;93631.54000000001
2023;3;Artes, Cultura, Esporte E Recreação;-13;175302.05999999997
2024;8;Atividades Financeiras, De Seguros E Serviços Relacionados;177;6047793.0
2020;6;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1;1424.0
2022;7;Educação;-79;10564749.189999998
2021;7;Atividades Administrativas E Serviços Complementares;718;7562145.869999936
2016;12;Saúde Humana E Serviços Sociais;85;456330.79
2014;12;Administração Pública, Defesa E Seguridade Social;-406;421425.61
2009;12;Alojamento E Alimentação;-50;585051.32
2023;2;Atividades Imobiliárias;-8;64970.400000000016
2024;9;Atividades Administrativas E Serviços Complementares;136;7097671.169999973
2020;6;Artes, Cultura, Esporte E Recreação;-21;52493.88999999999
2023;6;"Comércio; Reparação De Veículos Automotores E Motocicletas";-296;7842641.459999999
2024;3;Atividades Administrativas E Serviços Complementares;55;6108452.140000041
2021;8;Artes, Cultura, Esporte E Recreação;3;45999.54
2024;9;Artes, Cultura, Esporte E Recreação;0;121395.82
2016;12;Educação;-343;871146.2999999999
2021;7;Transporte, Armazenagem E Correio;2949;8271823.920000004
2023;4;Alojamento E Alimentação;-15;1313782.5099999993
2024;9;"Comércio; Reparação De Veículos Automotores E Motocicletas";141;10734879.549999984
2025;1;Outras Atividades De Serviços;19;595070.5299999999
2022;11;Atividades Financeiras, De Seguros E Serviços Relacionados;-28;572812.8799999999
2013;11;Administração Pública, Defesa E Seguridade Social;103;916173.66
2021;8;Administração Pública, Defesa E Seguridade Social;-16;57667.95
2023;2;Atividades Profissionais, Científicas E Técnicas;-59;3980928.099999993
2024;7;"Comércio; Reparação De Veículos Automotores E Motocicletas";94;9305761.539999971
2024;9;Transporte, Armazenagem E Correio;1537;9958650.779999996
2024;10;Transporte, Armazenagem E Correio;1631;11516340.960000021
2025;1;Artes, Cultura, Esporte E Recreação;24;134321.56
2021;4;;1;1256.0
2024;4;Educação;13;8000794.789999997
2022;11;Atividades Imobiliárias;-8;59791.0
2025;1;Atividades Imobiliárias;2;82567.55
2009;12;Construção;-29;539584.6
2023;5;Outras Atividades De Serviços;-3;368103.82
2023;12;Informação E Comunicação;102;1992623.600000001
2024;9;Outras Atividades De Serviços;-76;656427.7000000001
2009;12;Informação E Comunicação;118;361063.22
2023;5;Construção;32;2598108.590000002
2023;12;Artes, Cultura, Esporte E Recreação;-21;211593.07
2023;5;Atividades Administrativas E Serviços Complementares;-485;8485397.759999907
2016;12;Construção;-109;725877.53
2024;9;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;6;130358.23000000001
2024;8;Transporte, Armazenagem E Correio;1248;9382784.660000002
2024;9;Indústrias De Transformação;79;2923878.660000001
2024;9;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-2;3273.12
2023;5;Atividades Profissionais, Científicas E Técnicas;23;4544922.799999999
2021;7;Educação;38;4876344.739999998
2021;8;"Comércio; Reparação De Veículos Automotores E Motocicletas";676;6339597.2499999935
2016;12;Atividades Profissionais, Científicas E Técnicas;-37;218284.36
2020;6;Administração Pública, Defesa E Seguridade Social;-138;280660.48999999976
2024;3;Atividades Profissionais, Científicas E Técnicas;31;3962990.390000002
2020;11;Administração Pública, Defesa E Seguridade Social;-6;13643.259999999998
2013;11;Alojamento E Alimentação;44;1515104.72
2023;5;Saúde Humana E Serviços Sociais;246;1442890.6700000009
2024;8;Atividades Imobiliárias;-15;97153.90000000001
2020;6;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-12;30579.210000000006
2023;12;Atividades Administrativas E Serviços Complementares;-382;5048231.200000011
2024;10;Atividades Administrativas E Serviços Complementares;-44;6448248.440000017
2021;7;Administração Pública, Defesa E Seguridade Social;-3;18475.15
2024;10;Indústrias De Transformação;34;3473564.7399999998
2022;11;Atividades Profissionais, Científicas E Técnicas;123;7737309.699999999
2013;11;Transporte, Armazenagem E Correio;30;1364787.67
2021;8;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;0;54911.87999999999
2023;4;Outras Atividades De Serviços;19;324590.03
2020;11;Atividades Profissionais, Científicas E Técnicas;144;2531915.9899999993
2024;7;Educação;-8;5973536.189999993
2008;11;Atividades Profissionais, Científicas E Técnicas;14;127742.0
2008;11;Administração Pública, Defesa E Seguridade Social;-417;564262.0099999999
2009;12;Transporte, Armazenagem E Correio;143;592263.9600000001
2023;4;Saúde Humana E Serviços Sociais;86;1387469.81
2022;7;Saúde Humana E Serviços Sociais;87;1246917.5199999993
2020;11;Alojamento E Alimentação;122;730832.0400000005
2009;12;Saúde Humana E Serviços Sociais;-22;191762.75999999998
2009;12;Atividades Financeiras, De Seguros E Serviços Relacionados;7;288706.55
2024;4;Alojamento E Alimentação;32;1730503.2900000033
2024;9;Administração Pública, Defesa E Seguridade Social;9;32926.19
2013;11;Construção;22;933431.54
2020;6;Atividades Imobiliárias;2;37902.159999999996
2023;5;Atividades Imobiliárias;-10;104782.66
2024;3;Informação E Comunicação;51;1315660.8499999985
2024;4;Atividades Financeiras, De Seguros E Serviços Relacionados;-19;3959159.9600000083
2022;7;"Comércio; Reparação De Veículos Automotores E Motocicletas";148;6731088.999999998
2023;3;Construção;120;2417765.830000002
2024;9;Atividades Profissionais, Científicas E Técnicas;-3;4445806.2
2021;8;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-1;3804.0
2023;5;Atividades Financeiras, De Seguros E Serviços Relacionados;-112;2436199.8
2022;7;Alojamento E Alimentação;50;1234905.7800000003
2024;10;Informação E Comunicação;112;1845929.0099999993
2024;8;Atividades Profissionais, Científicas E Técnicas;135;5348577.010000009
2024;8;Educação;83;13808317.209999993
2009;12;"Comércio; Reparação De Veículos Automotores E Motocicletas";83;2327363.85
2024;3;"Comércio; Reparação De Veículos Automotores E Motocicletas";-140;9702354.839999998
2024;8;Outras Atividades De Serviços;51;569672.8699999996
2008;11;Outras Atividades De Serviços;5;70019.0
2023;2;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-1;19611.55
2020;6;Informação E Comunicação;-47;445345.31000000046
2023;2;Atividades Administrativas E Serviços Complementares;-113;7507989.289999958
2022;7;Construção;151;2271517.8400000017
2008;11;Atividades Financeiras, De Seguros E Serviços Relacionados;18;317243.0
2013;11;Atividades Administrativas E Serviços Complementares;293;2035280.69
2020;6;Atividades Administrativas E Serviços Complementares;1509;4505039.389999962
2023;6;Indústrias De Transformação;-61;2392745.64
2025;1;Educação;108;18572856.769999996
2024;3;Artes, Cultura, Esporte E Recreação;-4;141201.10000000003
2023;12;Construção;-210;1975384.61000001
2008;11;"Comércio; Reparação De Veículos Automotores E Motocicletas";538;2147971.9
2008;11;Indústrias De Transformação;-315;1553035.46
2024;3;Construção;172;3724134.6800000053
2024;4;Administração Pública, Defesa E Seguridade Social;-5;17650.96
2025;1;Transporte, Armazenagem E Correio;311;10137505.520000003
2020;11;Construção;-68;1876213.4499999983
2023;2;"Comércio; Reparação De Veículos Automotores E Motocicletas";-203;7616186.850000003
2020;6;Atividades Financeiras, De Seguros E Serviços Relacionados;-41;259246.62000000002
2024;4;Atividades Profissionais, Científicas E Técnicas;27;5269769.630000002
2023;4;Indústrias De Transformação;-1;2441356.929999999
2021;8;Alojamento E Alimentação;170;923648.249999999
2025;1;Atividades Profissionais, Científicas E Técnicas;178;5048852.829999999
2023;6;Atividades Financeiras, De Seguros E Serviços Relacionados;-52;2075884.7100000004
2024;8;Administração Pública, Defesa E Seguridade Social;-1;5456.34
2021;7;Informação E Comunicação;118;1336054.6500000006
2024;4;Informação E Comunicação;-5;1647135.84
2013;11;Indústrias De Transformação;-86;1899112.54
2023;6;Alojamento E Alimentação;12;1149734.2800000007
2023;5;;-1;1482.84
2021;7;Artes, Cultura, Esporte E Recreação;21;79225.54000000001
2023;5;Educação;12;5341399.759999999
2024;7;Informação E Comunicação;74;1827748.6399999985
2025;1;Alojamento E Alimentação;0;1834433.1999999967
2023;4;Atividades Administrativas E Serviços Complementares;-45;7035417.529999967
2023;12;Atividades Imobiliárias;-6;52236.07
2020;11;Atividades Financeiras, De Seguros E Serviços Relacionados;-125;1119541.38
2024;2;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-4;6373.29
2024;8;Saúde Humana E Serviços Sociais;22;1704764.0799999998
2022;11;Educação;-72;12048760.539999995
2024;7;Atividades Financeiras, De Seguros E Serviços Relacionados;141;6026941.060000003
2024;8;Alojamento E Alimentação;75;1967707.070000001
2022;7;Atividades Imobiliárias;8;78602.37
2023;3;Saúde Humana E Serviços Sociais;54;1150287.1400000001
2023;3;Atividades Imobiliárias;0;87428.94
2023;12;"Comércio; Reparação De Veículos Automotores E Motocicletas";-260;8435969.950000005
2020;11;Artes, Cultura, Esporte E Recreação;44;59464.17000000001
2008;11;Saúde Humana E Serviços Sociais;0;144668.0
2007;3;;195;119927.96999999997
2024;3;Atividades Financeiras, De Seguros E Serviços Relacionados;-1;2579683.620000001
2024;10;Saúde Humana E Serviços Sociais;-22;1613788.3999999992
2022;11;Artes, Cultura, Esporte E Recreação;17;81154.67
2023;6;Atividades Profissionais, Científicas E Técnicas;25;4668109.870000001
2024;9;Atividades Imobiliárias;0;109975.92
2014;12;Atividades Imobiliárias;-5;32825.96
2021;7;Saúde Humana E Serviços Sociais;100;724702.2
2022;11;Transporte, Armazenagem E Correio;218;3588245.6799999974
2022;7;Outras Atividades De Serviços;26;280228.6
2008;11;Alojamento E Alimentação;-18;616126.4099999999
2016;12;Transporte, Armazenagem E Correio;-39;875105.11
2024;10;Alojamento E Alimentação;24;2004975.3400000005
2020;11;Atividades Administrativas E Serviços Complementares;969;4421829.990000044
2023;5;Alojamento E Alimentação;-1;1284045.5300000003
2023;6;Atividades Administrativas E Serviços Complementares;285;7870548.239999967
2023;4;Atividades Financeiras, De Seguros E Serviços Relacionados;-99;2129493.2000000016
2020;6;Indústrias De Transformação;-86;912989.5899999992
2023;6;Transporte, Armazenagem E Correio;333;3735651.0600000056
2023;4;Construção;112;2087141.13
2013;11;Atividades Financeiras, De Seguros E Serviços Relacionados;-30;557251.62
2023;2;Transporte, Armazenagem E Correio;966;5219806.529999991
2020;6;Saúde Humana E Serviços Sociais;-31;351570.4500000001
2023;5;Transporte, Armazenagem E Correio;44;3697791.799999999
2023;3;Atividades Profissionais, Científicas E Técnicas;-338;6958590.099999994
2016;12;Administração Pública, Defesa E Seguridade Social;-451;638619.5200000001
2024;3;Saúde Humana E Serviços Sociais;37;1614520.8499999985
2021;8;Indústrias De Transformação;80;2363345.519999993
2021;7;Alojamento E Alimentação;95;857208.9700000002
2023;4;"Comércio; Reparação De Veículos Automotores E Motocicletas";-117;7425794.890000013
2009;12;Indústrias De Transformação;-153;1198672.4000000001
2016;12;Artes, Cultura, Esporte E Recreação;2;41439.32
2023;2;Educação;175;7126610.459999986
2023;3;Educação;43;1243882.72
2023;10;Atividades Imobiliárias;-1;56459.409999999996
2015;1;"Comércio; Reparação De Veículos Automotores E Motocicletas";-764;5440583.2
2016;2;Alojamento E Alimentação;36;630631.14
2023;11;Informação E Comunicação;122;2864112.9299999974
2016;9;Outras Atividades De Serviços;4;167400.53
2016;1;Construção;169;1208031.92
2016;8;Atividades Financeiras, De Seguros E Serviços Relacionados;14;376692.14
2018;3;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-5;85095.0
2009;10;Saúde Humana E Serviços Sociais;5;164315.48
2018;9;Construção;144;990563.74
2014;9;Saúde Humana E Serviços Sociais;28;411378.18
2007;1;Transporte, Armazenagem E Correio;-9;621720.0
2009;12;Artes, Cultura, Esporte E Recreação;2;22936.0
2023;7;Atividades Administrativas E Serviços Complementares;353;8212552.750000006
2015;6;Transporte, Armazenagem E Correio;-112;1512337.61
2016;7;Indústrias De Transformação;-37;1374573.68
2016;6;Atividades Administrativas E Serviços Complementares;517;1605487.74
2015;12;Atividades Profissionais, Científicas E Técnicas;-19;214817.41
2007;6;Alojamento E Alimentação;57;463605.0
2007;10;Atividades Profissionais, Científicas E Técnicas;26;58240.0
2012;1;"Comércio; Reparação De Veículos Automotores E Motocicletas";-785;4347156.83
2008;3;Atividades Administrativas E Serviços Complementares;158;979186.26
2009;5;Educação;20;217281.7
2023;9;Educação;4;
2012;1;Atividades Administrativas E Serviços Complementares;-25;1602193.58
2018;5;Construção;-33;1205690.59
2016;9;Atividades Imobiliárias;-5;43535.0
2010;5;Alojamento E Alimentação;75;851552.26
2019;12;Outras Atividades De Serviços;-37;165791.0
2021;12;Saúde Humana E Serviços Sociais;-28;373477.29
2016;8;Saúde Humana E Serviços Sociais;17;355856.75
2019;12;Indústrias De Transformação;-176;1567815.9
2016;9;"Comércio; Reparação De Veículos Automotores E Motocicletas";-207;4409791.91
2010;5;Atividades Profissionais, Científicas E Técnicas;65;275628.96
2015;9;Transporte, Armazenagem E Correio;-98;1359615.45
2025;1;Administração Pública, Defesa E Seguridade Social;-3;9065.29
2016;8;Atividades Imobiliárias;-1;29973.0
2009;10;Alojamento E Alimentação;47;579957.45
2015;9;Alojamento E Alimentação;38;640658.89
2016;4;Artes, Cultura, Esporte E Recreação;6;55536.88
2013;3;Saúde Humana E Serviços Sociais;37;357268.8
2023;10;Administração Pública, Defesa E Seguridade Social;-1;13353.8
2018;9;Administração Pública, Defesa E Seguridade Social;-79;97196.16
2019;12;Transporte, Armazenagem E Correio;-80;1189285.08
2016;2;Serviços Domésticos;-1;905.0
2007;10;Indústrias De Transformação;144;1192870.0
2009;1;Atividades Imobiliárias;-2;10229.0
2010;3;Atividades Financeiras, De Seguros E Serviços Relacionados;-58;511987.0
2012;1;Artes, Cultura, Esporte E Recreação;0;32617.0
2016;7;"Comércio; Reparação De Veículos Automotores E Motocicletas";-68;3881212.78
2013;4;Saúde Humana E Serviços Sociais;30;359281.15
2018;12;Construção;-77;1035186.84
2007;11;"Comércio; Reparação De Veículos Automotores E Motocicletas";420;1766959.0
2023;10;Transporte, Armazenagem E Correio;531;4604035.630000013
2019;1;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-5;41078.0
2016;6;Educação;-149;926677.1
2013;7;Atividades Profissionais, Científicas E Técnicas;33;235170.3
2018;12;Administração Pública, Defesa E Seguridade Social;-694;1280894.5
2010;3;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;2;36598.0
2007;8;Transporte, Armazenagem E Correio;19;713904.0
2007;8;Atividades Financeiras, De Seguros E Serviços Relacionados;-5;238703.0
2010;3;Atividades Profissionais, Científicas E Técnicas;9;176921.93
2017;3;Informação E Comunicação;-52;745606.0
2012;6;Informação E Comunicação;50;743402.07
2012;6;Atividades Profissionais, Científicas E Técnicas;-60;287465.1
2023;11;Atividades Imobiliárias;7;56565.770000000004
2012;1;Administração Pública, Defesa E Seguridade Social;38;558834.52
2010;5;Construção;184;746701.91
2007;8;Alojamento E Alimentação;18;680976.0
2018;12;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;0;61292.0
2018;12;Artes, Cultura, Esporte E Recreação;-8;89093.0
2023;10;Atividades Financeiras, De Seguros E Serviços Relacionados;26;2253107.7600000007
2018;5;Atividades Profissionais, Científicas E Técnicas;114;908630.93
2019;1;"Comércio; Reparação De Veículos Automotores E Motocicletas";-801;5359198.86
2016;7;Atividades Imobiliárias;-5;38263.0
2015;12;Atividades Imobiliárias;-7;30166.0
2016;10;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;9;27952.0
2013;3;Transporte, Armazenagem E Correio;186;1390697.9
2013;10;Artes, Cultura, Esporte E Recreação;5;23046.59
2015;6;Atividades Profissionais, Científicas E Técnicas;-11;259704.27
