ano;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2020;Atividades Imobiliárias;-26;633358.3900000001
2014;Alojamento E Alimentação;-24;7880563.0900000045
2014;Organismos Internacionais E Outras Instituições Extraterritoriais;-23;118163.0
2016;Atividades Imobiliárias;-23;379469.72
2012;Administração Pública, Defesa E Seguridade Social;-22;10210529.830000011
2017;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-18;764089.23
2021;Administração Pública, Defesa E Seguridade Social;-17;578865.5399999996
2023;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-17;1151866.1999999997
2015;Outras Atividades De Serviços;-17;2303443.36
2018;Outras Atividades De Serviços;-15;2528331.11
2014;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-13;913990.4500000001
2023;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-13;91846.04999999999
2024;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-13;65763.17000000001
2023;Atividades Imobiliárias;-13;738003.05
2023;Indústrias De Transformação;-13;25756608.18000005
2018;Indústrias Extrativas;-13;244140.0
2008;Artes, Cultura, Esporte E Recreação;-12;299695.04
2012;Serviços Domésticos;-11;16085.7
2015;Eletricidade E Gás;-9;58004.299999999996
2019;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-8;217257.34
2012;Outras Atividades De Serviços;-7;2191496.43
2015;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-6;928449.67
2025;Administração Pública, Defesa E Seguridade Social;-6;55045.45
2011;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-6;12908.57
2008;Serviços Domésticos;-6;4584.0
2025;Atividades Imobiliárias;-5;632292.65
2024;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-4;1566087.0999999992
2015;Serviços Domésticos;-4;16990.0
2024;Artes, Cultura, Esporte E Recreação;-3;1651957.000000001
2025;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-3;26380.079999999998
2007;Serviços Domésticos;-3;3330.0
2008;Indústrias Extrativas;-3;4482.0
2019;Serviços Domésticos;-3;46.92
2020;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-2;4547.0
2017;Serviços Domésticos;-2;1380.0
2023;;-1;1482.84
2015;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-1;17949.0
2016;Organismos Internacionais E Outras Instituições Extraterritoriais;-1;10762.0
2017;Organismos Internacionais E Outras Instituições Extraterritoriais;-1;15083.0
2014;Eletricidade E Gás;-1;10170.0
2018;Serviços Domésticos;-1;1076.0
2011;Indústrias Extrativas;-1;1112.0
2009;Eletricidade E Gás;-1;508.0
2023;Indústrias Extrativas;-1;
2021;;0;2574.6
2019;Atividades Imobiliárias;0;631983.97
2016;Eletricidade E Gás;0;16675.0
2013;Eletricidade E Gás;0;10380.0
2011;Serviços Domésticos;0;5496.35
2015;Organismos Internacionais E Outras Instituições Extraterritoriais;0;38016.0
2010;Eletricidade E Gás;0;6417.0
2008;Organismos Internacionais E Outras Instituições Extraterritoriais;0;1020.0
2021;Indústrias Extrativas;1;1439.0
2022;Administração Pública, Defesa E Seguridade Social;1;416214.9
2016;Serviços Domésticos;1;4029.0
2014;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1;9995.0
2018;Eletricidade E Gás;1;8910.0
2025;Eletricidade E Gás;1;7400.0
2013;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;2;56403.0
2017;Atividades Imobiliárias;3;364919.96
2012;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;3;9300.16
2009;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;3;14353.11
2015;Atividades Imobiliárias;4;491825.3
2014;Serviços Domésticos;4;14255.0
2013;Serviços Domésticos;4;4941.0
2012;Artes, Cultura, Esporte E Recreação;6;471067.44
2021;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;7;27560.5
2008;Educação;7;3017419.2199999997
2009;Serviços Domésticos;7;6023.0
2022;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;8;73735.65999999997
2013;Organismos Internacionais E Outras Instituições Extraterritoriais;8;136021.0
2009;Organismos Internacionais E Outras Instituições Extraterritoriais;9;14688.0
2018;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;9;54924.0
2010;Serviços Domésticos;9;8550.5
2023;Administração Pública, Defesa E Seguridade Social;10;123412.29
2013;Artes, Cultura, Esporte E Recreação;11;318423.93
2022;Outras Atividades De Serviços;12;4153320.069999998
2017;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;12;32660.18
2016;Artes, Cultura, Esporte E Recreação;13;695478.0
2010;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;13;23056.3
2009;Atividades Imobiliárias;14;175630.68
2010;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;15;368559.0
2014;Atividades Profissionais, Científicas E Técnicas;16;3405135.67
2013;Atividades Imobiliárias;16;460883.0
2020;Construção;17;22411659.470000315
2021;Atividades Financeiras, De Seguros E Serviços Relacionados;17;4002925.0300000003
2010;Educação;18;3121410.68
2011;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;18;402533.85
2013;Indústrias Extrativas;19;482795.0
2010;Artes, Cultura, Esporte E Recreação;21;294251.78
2017;Artes, Cultura, Esporte E Recreação;21;843599.53
2018;Atividades Imobiliárias;22;428640.27
2024;Atividades Imobiliárias;23;1103967.5899999996
2007;Atividades Imobiliárias;26;124496.0
2008;Atividades Imobiliárias;28;170999.0
2015;Artes, Cultura, Esporte E Recreação;29;878385.7899999999
2016;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;31;937431.09
2010;Atividades Imobiliárias;32;273368.42
2007;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;32;77032.0
2025;Outras Atividades De Serviços;37;4262011.950000007
2014;Indústrias Extrativas;39;484726.0
2011;Atividades Imobiliárias;39;374143.92
2021;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;43;925402.5099999998
2025;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;43;1288146.8799999997
2019;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;47;946962.21
2021;Atividades Imobiliárias;49;625477.9
2012;Atividades Imobiliárias;54;484974.21
2011;Artes, Cultura, Esporte E Recreação;58;368647.02
2023;Artes, Cultura, Esporte E Recreação;61;1507618.129999999
2014;Artes, Cultura, Esporte E Recreação;70;712286.36
2024;Administração Pública, Defesa E Seguridade Social;70;361674.41000000003
2023;Outras Atividades De Serviços;71;3850243.2899999977
2025;Artes, Cultura, Esporte E Recreação;71;1174073.2100000002
2016;Indústrias Extrativas;71;448458.27
2021;Artes, Cultura, Esporte E Recreação;73;1076547.3299999998
2007;Saúde Humana E Serviços Sociais;77;1212206.0
2025;Construção;79;22280154.319999985
2010;Saúde Humana E Serviços Sociais;81;2196159.6
2009;Artes, Cultura, Esporte E Recreação;86;225696.29
2019;Artes, Cultura, Esporte E Recreação;88;909184.69
2012;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;93;935674.0
2007;Informação E Comunicação;96;2550587.0
2007;Educação;98;2304722.0
2007;Atividades Profissionais, Científicas E Técnicas;100;648553.0
2019;Transporte, Armazenagem E Correio;101;16157531.19
2022;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;102;1231175.5899999999
2019;Educação;102;6888685.97
2018;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;106;972673.97
2010;Organismos Internacionais E Outras Instituições Extraterritoriais;111;354096.0
2016;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;111;183720.0
2023;Alojamento E Alimentação;112;12979712.17000005
2011;Educação;115;3736034.83
2021;Educação;116;76673874.61999995
2024;Alojamento E Alimentação;126;21708070.66999963
2011;Outras Atividades De Serviços;129;1895922.19
2022;Artes, Cultura, Esporte E Recreação;131;1371914.4800000002
2022;Construção;136;26940470.639999773
2024;Educação;140;169830416.98999962
2009;Outras Atividades De Serviços;148;1583747.11
2007;Construção;149;3316142.0
2009;Atividades Profissionais, Científicas E Técnicas;155;1231798.8299999998
2014;Saúde Humana E Serviços Sociais;159;4742438.2700000005
2013;Saúde Humana E Serviços Sociais;162;4571096.87
2010;Outras Atividades De Serviços;164;1767716.47
2019;Atividades Financeiras, De Seguros E Serviços Relacionados;165;14876963.61
2008;Informação E Comunicação;167;4144066.8699999987
2009;Atividades Financeiras, De Seguros E Serviços Relacionados;175;4044536.13
2008;Saúde Humana E Serviços Sociais;177;1582013.8299999998
2013;Transporte, Armazenagem E Correio;184;16897096.61
2013;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;185;1056693.18
2025;Atividades Financeiras, De Seguros E Serviços Relacionados;190;39283097.83999995
2012;Atividades Financeiras, De Seguros E Serviços Relacionados;191;6215025.03
2025;Educação;196;72320708.59000006
2013;Outras Atividades De Serviços;201;2992059.83
2009;Saúde Humana E Serviços Sociais;207;1909526.3699999999
2025;Atividades Administrativas E Serviços Complementares;213;47603075.70000076
2013;Atividades Profissionais, Científicas E Técnicas;213;2978759.56
2017;Alojamento E Alimentação;223;7588733.95
2008;Atividades Profissionais, Científicas E Técnicas;228;1245767.98
2011;Atividades Profissionais, Científicas E Técnicas;238;3015546.16
2018;Transporte, Armazenagem E Correio;243;13733053.579999998
2009;Educação;249;3690318.7199999997
2007;Atividades Financeiras, De Seguros E Serviços Relacionados;262;3326855.0
2022;Educação;270;149538026.56999972
2008;Outras Atividades De Serviços;275;1284265.4299999997
2008;Atividades Financeiras, De Seguros E Serviços Relacionados;292;4858824.55
2018;Atividades Administrativas E Serviços Complementares;292;23409013.26999999
2012;Alojamento E Alimentação;295;13666911.789999995
2024;Atividades Administrativas E Serviços Complementares;295;72295276.72999954
2011;Saúde Humana E Serviços Sociais;308;3694738.7300000004
2014;Administração Pública, Defesa E Seguridade Social;310;9198405.4
2012;Saúde Humana E Serviços Sociais;336;3730770.1400000006
2024;"Comércio; Reparação De Veículos Automotores E Motocicletas";339;117214675.63000153
2024;Outras Atividades De Serviços;340;5927647.6300000055
2013;Educação;344;5190171.449999999
2019;Atividades Profissionais, Científicas E Técnicas;344;16881631.72
2025;Alojamento E Alimentação;346;14598410.570000138
2012;Atividades Administrativas E Serviços Complementares;348;20379833.560000006
2011;Alojamento E Alimentação;349;11328965.360000003
2018;Indústrias De Transformação;361;17046696.169999998
2008;Administração Pública, Defesa E Seguridade Social;400;10269216.239999989
2009;Transporte, Armazenagem E Correio;417;7915362.529999999
2024;Saúde Humana E Serviços Sociais;418;18992503.080000117
2014;Construção;421;13327187.179999985
2018;Alojamento E Alimentação;433;8806793.830000002
2022;Indústrias De Transformação;443;35424509.440000005
2018;Atividades Profissionais, Científicas E Técnicas;454;12060907.629999997
2013;Atividades Administrativas E Serviços Complementares;472;22754705.150000002
2009;Informação E Comunicação;476;4389632.720000001
2025;Indústrias De Transformação;489;25324751.289999995
2010;Atividades Financeiras, De Seguros E Serviços Relacionados;518;5394309.5
2012;Indústrias Extrativas;523;674999.96
2010;Atividades Profissionais, Científicas E Técnicas;545;2519874.65
2008;Indústrias De Transformação;558;17502553.94999999
2019;Alojamento E Alimentação;566;10037554.93
2021;Alojamento E Alimentação;574;9836603.59999997
2022;Informação E Comunicação;582;18857729.62999994
2011;Informação E Comunicação;583;6900825.29
2007;Atividades Administrativas E Serviços Complementares;591;9487614.0
2012;Transporte, Armazenagem E Correio;594;13166324.009999994
2024;Indústrias De Transformação;606;35655110.129999794
2019;Construção;625;14014673.579999996
2012;Educação;627;4848186.750000001
