ano;idade_grupo;saldo_movimentacao
2020;16-20;2501
2007;21-25;2506
2010;26-30;2509
2025;21-25;2527
2024;21-25;2731
2021;31-35;3115
2019;16-20;3339
2010;21-25;3544
2007;16-20;3783
2012;16-20;4098
2014;16-20;4185
2009;16-20;4345
2008;16-20;4353
2018;16-20;4357
2023;16-20;4404
2021;26-30;4883
2013;16-20;4923
2011;16-20;5311
2010;16-20;5335
2022;16-20;5402
2025;16-20;5505
2021;21-25;6513
2024;16-20;6649
2021;16-20;6951
