tipo_unidade;nome_unidade;latitude;longitude;cpf_aluno
EMEI;DALVA MIRIAN PORTELA MACHADO;-23.565032;-46.814062;4839
CEMEI;MARIO QUINTANA;-23.537009;-46.813743;4740
CEMEI;ELIDE ALVES DORIA;-23.546634;-46.792558;4631
CEMEI;OMAR OGEDA MARTINS;-23.502985;-46.794728;4556
CEMEI;ESTEVAO BRETT;-23.554357;-46.784163;4379
EMEF;JOAO GUIMARAES ROSA;-23.5419408840016;-46.79562825899495;4345
CRECHE;PEDRO PENOV;-23.554895;-46.799041;4328
CEMEI;SALVADOR SACCO;-23.536305;-46.807439;4318
CEMEI;THEREZA BIANCHI COLLINO;-23.526041;-46.770922;4059
CEMEI;FORTUNATO ANTIORIO, PROF;-23.513876;-46.764647;3968
CEMEI;ALICE MANHOLER PITERI;-23.531085;-46.797212;3860
CEMEI;ANTONIO PAULINO RIBEIRO;-23.559822;-46.812677;3834
CEMEI;JOSE FLAVIO DE FREITAS, PROF.;-23.507495478191927;-46.77375540489904;3784
CRECHE;MARIA BENEDITA CONSTANCIO, IRMA;-23.55518225972526;-46.79883362698756;3750
CEMEI;PROVIDENCIA DOS ANJOS CARREIRA;-23.525345101256345;-46.81133481365109;3695
EMEF;HUGO RIBEIRO DE ALMEIDA, DR.;-23.510717;-46.784123;3588
CEMEI;MARIA ALVES DORIA;-23.501761;-46.80186;3479
CEMEI;NAIR BELLACOZA WARZEKA, PROF.;-23.502985;-46.794728;3432
EMEI;IGNES COLLINO;-23.557888;-46.779169;3316
CRECHE;HILDA ALVES DOS SANTOS MARIM;-23.538027;-46.782588;3299
CRECHE;OLIMPIA MARIA DE JESUS CARVALHO;-23.51036782581492;-46.78391743558173;3266
CEMEI;ADHEMAR PEREIRA DE BARROS;-23.569255;-46.795055;3225
CRECHE;LAR DA INFANCIA - JOSE CARLOS DI MAMBRO, PADRE;-23.54579;-46.792727;3048
CRECHE;LIDIA THOMAZ;-23.560933;-46.778007;2968
ESCPARC;ALTINO ROSSI DE ALMEIDA - MUNDO DA CRIANCA;-23.528904386992444;-46.81002492883566;2933
CRECHE;ALHA ELIAS ABIB;-23.561915;-46.803625;2930
CRECHE;IDA BELMONTE BISCUOLA;-23.526346;-46.771052;2901
EMEI;DESCIO MENDES PEREIRA;-23.564902;-46.813946;2892
ESCPARC;QUINTAL MAGICO ;-23.570292;-46.793824;2796
CRECHE;PEDRO ALVES DE OLIVEIRA;-23.543315;-46.815613;2747
CEMEI;FERNANDO BUONADUCE;-23.534967;-46.795576;2735
CRECHE;EZIO MELLI;-23.489187;-46.788779;2734
CEMEI;HELENA COUTINHO;-23.54198398607596;-46.78278458465817;2634
CEMEI;LEONIL CRE BORTOLOSSO;-23.5035630160456;-46.78856861534561;2629
CRECHE;JOSE DAVID BINSZTAJN ;-23.5722356;-46.7967501;2629
CRECHE;RECANTO ALEGRE;-23.543206;-46.799709;2609
CRECHE;SERAPHINA BISSOLATI;-23.550689;-46.784217;2590
CEMEI;FORTUNATA PEREIRA DE JESUS SANTOS;-23.534353;-46.803684;2572
CRECHE;SILVIA FERREIRA FARAH, PROF.;-23.504717;-46.806541;2544
CEMEI;PEDRO MARTINO;-23.538974;-46.783369;2538
CEMEI;ALIPIO PEREIRA DOS SANTOS;-23.555605;-46.792542;2527
CRECHE;AMELIA TOZZETO VIVIANE ;-23.577342107351463;-46.80105725765206;2494
CRECHE;DAISY RIBEIRO NEVES;-23.536281;-46.807643;2476
CEMEI;MARIA MADALENA LEITE BARBOSA FREIXEDA;-23.541786;-46.807284;2465
ESCPARC;GOTINHAS I - JD. CONCEICAO;-23.57805705026981;-46.79912550288505;2449
CRECHE;GIUSEPPA BERSANI MICHELIN;-23.555244;-46.776418;2432
CEMEI;YOLANDA BOTARO VICENTE;-23.514638;-46.768167;2429
CRECHE;MARIA JOSE DA SILVA JESUS;-23.54173229022581;-46.80204889992893;2393
CRECHE;AGENTIL DOS REIS;-23.54796917082532;-46.80414703161932;2359
ESCPARC;GOTINHAS II - NOVO OSASCO;-23.565264833162427;-46.79216920473651;2289
CRECHE;ALZIRA SILVA MEDEIROS;-23.509160908959423;-46.78459969958637;2248
CEMEI;MARIO SEBASTIAO ALVES DE LIMA;-23.518013;-46.765975;2244
CEMEI;JAPHET FONTES;-23.500548;-46.776886;2231
CRECHE;SADAMITU OMOSAKO;-23.49776;-46.802027;2218
CRECHE;SERGIO ZANARDI;-23.548993;-46.817911;2171
CRECHE;OLGA CAMOLESI PAVAO;-23.501307;-46.791711;2170
EMEF;MANOEL TERTULIANO DE CERQUEIRA, PROF. ;-23.5826934;-46.7983735;2132
ESCPARC;ALEGRIA DE APRENDER - AMCFP (PADROEIRA);-23.55815395929067;-46.806559557671314;2128
CRECHE;JOAQUINA FRANCA GARCIA;-23.507712;-46.773773;2057
ESCPARC;DARCY RIBEIRO - AMCFP (SANTA MARIA);-23.585848029952125;-46.81285776240735;2019
CRECHE;ELZA BATISTON;-23.501501;-46.798298;1971
CRECHE;HERMINIA LOPES;-23.530165;-46.811951;1969
ESCPARC;ARTE DE APRENDER - SOLUCAO SOCIAL (ROCHDALE);-23.51605182215601;-46.783476337433065;1914
ESCPARC;ASSOCIACAO DAS MAES DO JARDIM VELOSO;-23.562591;-46.805231;1889
ESCPARC;AMUNO II - MAES UNIDAS DO NOVO OSASCO;-23.572404980396588;-46.79401275767131;1787
ESCPARC;GOTINHAS III - PORTAL DO OESTE I;-23.49338930512375;-46.79646252008274;1769
ESCPARC;BRILHO DO APRENDER - AMDC ;-23.501178063840463;-46.78549801534162;1670
CRECHE;MARIA JOSE DA ANUNCIACAO;-23.548018;-46.788065;1627
CRECHE;ROSA BROSEGHINI;-23.498424;-46.785295;1624
CRECHE;VILMA CATAN;-23.5422786;-46.7836862;1615
ESCPARC;CAMINHO DO SABER - SOLUCAO SOCIAL (BARONESA);-23.4979946462464;-46.7898055124108;1613
ESCPARC;MAGICO DE OZ - AMCFP (PADROEIRA);-23.550783710296653;-46.80957994891649;1565
ESCPARC;PEQUENO APRENDIZ - SOLUCAO SOCIAL (PORTAL D'OESTE);-23.491910004127085;-46.80285943743306;1544
CRECHE;BENEDITA DE OLIVEIRA;-23.502947;-46.767431;1502
ESCPARC;AVENTURA DO APRENDER - AMDC;-23.517961;-46.789998;1428
ESCPARC;VANIA LUCIA SOUZA - MUNDO DA CRIANCA ;-23.5750986831031;-46.809299771164575;1425
CEMEI;NELLY GRIZI OLIVA;-23.568055794939013;-46.77656496614315;1425
ESCPARC;CELINA ALMEIDA - INOVACAO SOCIAL (PADROEIRA);-23.55418997545316;-46.8077728912445;1419
CRECHE;JOAO CORREA;-23.552557;-46.809308;1409
