cod_familiar_fam;n_pessoas_fam;qtd_pessoas_domic_fam
1096422956;2;1.0
1096423170;5;1.0
1096424223;13;5.0
1096425467;7;1.0
1096425548;4;1.0
1096428210;7;5.0
1096428300;1;1.0
1096467895;4;3.0
1096473437;7;2.0
1096477505;3;3.0
1096477777;7;6.0
1096479710;5;3.0
1096481618;5;3.0
1096486504;8;2.0
1096489430;4;1.0
1096492490;4;2.0
1096493039;5;1.0
1096493110;6;6.0
1096493381;6;1.0
1096495678;7;2.0
1096500264;12;7.0
1096500850;9;2.0
1096501821;3;3.0
1096502550;6;1.0
1096503107;9;1.0
1096504928;5;3.0
1096505908;10;3.0
1096507277;3;1.0
1096507358;3;2.0
1096509644;3;3.0
1096510499;3;1.0
1096512270;4;1.0
1096513595;5;3.0
1096513838;9;5.0
1096514648;4;3.0
1096515105;4;3.0
1096515881;7;3.0
1096516853;11;6.0
1096517230;8;8.0
1096518716;11;3.0
1096522071;7;2.0
1096522152;3;4.0
1096522233;7;2.0
1096522748;5;1.0
1096524791;8;2.0
1096526301;8;4.0
1096526735;8;5.0
1096528193;6;2.0
1096528517;6;3.0
1096528606;8;6.0
1096532549;6;5.0
1096534320;5;3.0
1096536102;8;5.0
1096538903;8;3.0
1096529912;3;3.0
1096541297;5;5.0
1096579006;9;3.0
1096580004;6;3.0
1096544040;3;2.0
1096545799;9;2.0
1096548623;8;5.0
1096549433;13;4.0
1096549948;8;3.0
1096555247;6;2.0
1096556642;4;2.0
1096558262;4;2.0
1096562707;4;1.0
1096564742;6;4.0
1096564904;8;4.0
1096567768;6;3.0
1096569116;4;2.0
1096572338;10;8.0
1096573571;4;2.0
1096575434;12;6.0
1096577488;3;2.0
1096578107;12;4.0
1096589494;7;4.0
1096590662;1;1.0
1096591634;12;5.0
1096592100;7;4.0
1096593092;7;4.0
1096597322;4;4.0
1096607735;2;1.0
1096612143;5;1.0
1096614197;4;2.0
1096615916;8;5.0
1096618265;13;6.0
1096618699;7;2.0
1096618770;9;3.0
1096622025;4;1.0
1096624583;3;2.0
1096624826;4;3.0
1096650746;6;2.0
1096652366;5;2.0
1096655462;4;1.0
1096656191;7;2.0
1096657597;7;2.0
1096659611;4;3.0
1096663643;6;1.0
1096663724;2;3.0
1187741744;6;1.0
1187742716;4;2.0
1187743950;6;1.0
1187744417;16;10.0
1187746975;8;2.0
1187747513;12;3.0
1187748323;4;2.0
1187749052;6;3.0
1187801828;4;1.0
1187804843;6;4.0
1187804924;9;2.0
1187805220;6;5.0
1187807192;5;3.0
1187807354;6;2.0
1187808407;3;1.0
1187811971;6;3.0
1187812277;4;2.0
1187813087;8;7.0
1187813672;6;4.0
1187821268;6;2.0
1187822582;5;1.0
1187823120;8;2.0
1271100037;5;3.0
1271100380;7;4.0
1271100894;5;3.0
1271100975;3;2.0
1271101009;9;7.0
1271102161;7;4.0
1271102676;6;3.0
1271105420;6;2.0
1271105500;9;4.0
1271106230;8;5.0
1285598709;5;3.0
1287581552;6;9.0
1287582796;10;4.0
1287583504;5;3.0
1287583687;6;2.0
1287583768;6;5.0
1287585701;8;4.0
1096625393;9;2.0
1096625989;7;5.0
1096627256;12;3.0
1096631440;7;2.0
1096632683;9;5.0
1096633140;9;4.0
1096634112;7;4.0
1096634201;7;4.0
1096636247;14;8.0
1096637804;5;1.0
1096639262;8;5.0
1096641089;9;2.0
1096643618;5;2.0
1096644851;5;1.0
1096644932;14;8.0
1096667126;6;1.0
1288860722;12;7.0
1288860994;5;3.0
1288861370;8;4.0
1288861702;6;4.0
1288861966;6;4.0
1288863233;4;4.0
1290402159;12;2.0
1290402230;2;2.0
1294344269;10;1.0
1298075750;5;5.0
1298076307;11;8.0
1298076722;2;1.0
1298077370;7;6.0
1298077532;6;5.0
