desc_cod_agua_canalizada_fam;cod_familiar_fam
Sim;1096572338
Sim;1096573571
Sim;1096575434
Sim;1096577488
Sim;1096578107
Sim;1096589494
Sim;1096590662
Sim;1096591634
Sim;1096592100
Sim;1096593092
Sim;1096597322
Sim;1096607735
Sim;1096612143
Sim;1096614197
Sim;1096615916
Sim;1096618265
Sim;1096618699
Sim;1096618770
Sim;1096622025
Sim;1096624583
Sim;1096624826
Sim;1096650746
Sim;1096652366
Sim;1096655462
Sim;1096656191
Sim;1096657597
Sim;1096659611
Sim;1096663643
Sim;1096663724
Sim;1187741744
Sim;1187742716
Sim;1187743950
Sim;1187744417
Sim;1187746975
Sim;1187747513
Sim;1187748323
Sim;1187749052
Sim;1187801828
Sim;1187804843
Sim;1187804924
Sim;1187805220
Sim;1187807192
Sim;1187807354
Sim;1187808407
Sim;1187811971
Sim;1187812277
Sim;1187813087
Sim;1187813672
Sim;1187821268
Sim;1187822582
Sim;1187823120
Sim;1271100037
Sim;1271100380
Sim;1271100894
Sim;1271100975
Não;1271101009
Sim;1271102161
Sim;1271102676
Sim;1271105420
Sim;1271105500
Sim;1271106230
Sim;1285598709
Sim;1287581552
Sim;1287582796
Sim;1287583504
Sim;1287583687
Sim;1287583768
Sim;1287585701
Sim;1096625393
Sim;1096625989
Sim;1096627256
Sim;1096631440
Sim;1096632683
Sim;1096633140
Sim;1096634112
Sim;1096634201
Sim;1096636247
Sim;1096637804
Sim;1096639262
Sim;1096641089
Sim;1096643618
Sim;1096644851
Sim;1096644932
Sim;1096667126
Sim;1288860722
Sim;1288860994
Sim;1288861370
Não;1288861702
Sim;1288861966
Sim;1288863233
Sim;1290402159
Sim;1290402230
Sim;1294344269
Sim;1298075750
Sim;1298076307
Sim;1298076722
Sim;1298077370
Sim;1298077532
Sim;1298077613
Sim;1096669170
Sim;1096669927
Sim;1096671158
Sim;1096675498
Sim;1096675650
Sim;1340579456
Sim;1340581434
Sim;1340581787
Sim;1340582406
Sim;1340582759
Sim;1096679990
Sim;1096680068
Sim;1096682516
Sim;1096685965
Sim;1096687151
Sim;1096689448
Sim;1096694107
Sim;1096695502
Sim;1096695685
Sim;1096697467
Sim;1096699249
Sim;1096699915
Sim;1096700352
Sim;1096700867
Sim;1096701910
Sim;1096702053
Sim;1096702134
Sim;1096704692
Sim;1096705230
Sim;1096706474
Sim;1096711206
Sim;1110893795
Sim;1187738603
Sim;1187738794
Sim;1187739170
Sim;1187753670
Sim;1187754056
Sim;1187758124
Sim;1187759368
Não;1187760455
Sim;1187764604
Sim;1187770680
Sim;1187773433
Sim;1406777633
Sim;1406778010
Sim;1406778362
Sim;1406778524
Sim;1406779504
Sim;1406779768
Sim;1406779920
Sim;1406780340
Sim;1406781150
Sim;1406781401
Sim;1406782718
Sim;1406784761
Sim;1406785148
Sim;1406785490
Sim;1406786110
Sim;1406786543
Sim;1406787000
Sim;1406787515
Sim;1406788830
Não;1406789054
Sim;1406789305
Sim;1406789801
Sim;1406789992
Sim;1406790141
Sim;1406790222
Sim;1406790303
Sim;1406791970
Sim;1187777420
Sim;1187780642
Sim;1187782939
Sim;1187783900
Sim;1187789194
Sim;1187790796
Sim;1187792578
Sim;1187797294
Sim;1187801151
Sim;1407861042
Sim;1407861808
Sim;1407862367
Sim;1412361400
Sim;1412361753
Sim;1187830682
Sim;1187830925
Sim;1189508001
Sim;1196764000
Sim;1201458633
Sim;1203336357
Sim;1206804408
Sim;1208803859
Sim;1213055032
Sim;1216181101
Sim;1216181616
Sim;1216182698
Sim;1216185280
Sim;1217809619
Sim;1223830012
Não;1236023862
Sim;1240864620
Sim;1240877790
Sim;1255788143
Sim;1260801004
Sim;1261893239
Sim;1262246504
Sim;1263927068
Sim;1264292198
Sim;1267847794
Sim;1267847875
Sim;1267848090
Sim;1270464370
Sim;1270466232
Sim;1270466909
Sim;1270467557
Sim;1270468952
Sim;1270470850
Sim;1270471317
Sim;1270471589
Sim;1270471821
Sim;1270472046
Sim;1270472801
Sim;1270473107
Sim;1270473441
Sim;1270473956
Sim;1270474332
Sim;1270475908
Sim;1270477609
Sim;1270478753
Sim;1270478834
Sim;1270482432
Sim;1271091100
Sim;1271092697
Sim;1271094550
Sim;1271094800
Sim;1271095017
Sim;1271095289
Sim;1271095360
Sim;1271095440
Sim;1271095602
Sim;1271097060
Sim;1271097737
Sim;1271097907
Sim;1271098032
Sim;1271098385
Sim;1287587160
Sim;1288859805
Sim;1288859988
Sim;1288860137
Sim;1298079900
Sim;1298080320
Sim;1298080673
Sim;1298081807
Sim;1298082021
Sim;1298083346
Sim;1300642467
Sim;1301570583
Sim;1305564758
Sim;1318316820
Sim;1322466351
Sim;1322501521
Sim;1329166221
Sim;1331660408
Sim;1331697409
Sim;1340298520
Sim;1340569906
Sim;1340571129
Sim;1340571471
Sim;1340571803
Sim;1340572109
Sim;1340575701
Sim;1340576350
Sim;1340576783
Sim;1340578131
Sim;1340585421
Sim;1340585774
Sim;1340585936
Sim;1340589257
Sim;1340589761
Sim;1340961695
Sim;1342534506
Sim;1353268934
Sim;1371871906
Sim;1379961440
Não;1380381711
Sim;1380384060
Sim;1380384737
Sim;1380385890
Sim;1380386357
Sim;1380386438
Sim;1380386780
Sim;1380387752
Sim;1380387833
Sim;1380389534
Sim;1380391350
Sim;1380391865
Sim;1393821782
Sim;1403036853
Sim;1403169497
Sim;1404135103
Sim;1404136266
Sim;1404136690
Sim;1404138200
Sim;1414732236
Sim;1414732740
Sim;1414733399
Sim;1414735090
Sim;1404140379
Sim;1404142827
Sim;1404144609
Sim;1404144951
Sim;1404145257
Sim;1404146490
Sim;1404147624
Sim;1404148868
Sim;1404150846
Sim;1404151575
Sim;1404152547
Sim;1404152970
Sim;1404153004
Sim;1404154590
Sim;1404155309
Sim;1404155562
Sim;1404156372
Sim;1404157425
Sim;1404157778
Sim;1404157859
Sim;1404159045
Sim;1406776076
Sim;1406776238
;1406793590
Sim;1406795372
Sim;1406795453
Sim;1406797154
Sim;1406797316
Sim;1407815792
Sim;1407815954
Sim;1407817493
Sim;1407817655
Sim;1407817906
Sim;1407818546
Sim;1407818899
Sim;1407822659
Sim;1407824007
Sim;1407825321
Sim;1407826565
Sim;1407826646
Sim;1407829157
Sim;1407829661
Sim;1407830406
Sim;1407830597
Sim;1407831135
Sim;1407831569
Sim;1407831801
Sim;1407833006
Sim;1407834312
Sim;1407834584
Sim;1407835122
Sim;1407835394
Sim;1407836951
Sim;1407838067
Sim;1407838229
Sim;1407839039
Sim;1407839705
Sim;1407840126
Sim;1407840207
Sim;1407842501
Não;1407842765
Sim;1407845004
Sim;1407845357
Sim;1407845861
Sim;1407847996
Sim;1407850199
Sim;1407850865
Sim;1407852302
Sim;1407853961
Sim;1407855743
Sim;1407857606
Sim;1407860232
Sim;1407860747
Sim;1412364183
Sim;1412365074
Sim;1412365740
Sim;1412366399
Sim;1412366631
Sim;1412367107
Não;1412367360
Sim;1412368090
Sim;1412368685
Sim;1412369657
Sim;1412369908
Sim;1412370230
Sim;1412371988
Sim;1412372445
Sim;1414729952
Sim;1414738439
Sim;1414738781
Sim;1414739591
Sim;1414740174
Sim;1414740689
Sim;1414741812
Sim;1414743009
Sim;1414744323
Sim;1414745648
Sim;1414746610
Sim;1414747500
Sim;1414748663
Sim;1414749120
Sim;1414751451
Sim;1414752008
Sim;1414752504
Sim;1414753152
Sim;1414754710
Sim;1414755015
Sim;1414756500
Sim;1414756844
Sim;1414758979
Sim;1414760442
Não;1414760876
Sim;1414761767
Sim;1414761848
Sim;1414762810
Sim;1414763115
Sim;1414764510
Sim;1414764600
Sim;1414764863
Sim;1414765088
Sim;1414766050
Sim;1414766483
Sim;1414767617
Sim;1414768427
Sim;1414769407
Sim;1414769580
Sim;1418447951
Sim;1418448176
Sim;1418448257
Sim;1418449652
Sim;1414771053
Sim;1414771649
Sim;1414772378
Sim;1414772459
Sim;1414773340
Sim;1418418188
Sim;1418420166
Sim;1418421642
Sim;1418421723
Sim;1418422029
Sim;1418422100
Sim;1418422967
Sim;1418424587
Sim;1418425206
Sim;1418425559
Sim;1418430803
Sim;1418431010
Sim;1418431362
Sim;1418431524
Sim;1418431605
Sim;1418431958
Sim;1418434540
Sim;1418434973
Sim;1418435279
Sim;1418437484
Sim;1418439851
Sim;1418440000
Sim;1418440949
Sim;1418441406
Sim;1418441597
Sim;1418443611
Sim;1418444340
Sim;1418444421
Sim;1418446203
Sim;1418454303
Sim;1418455113
Não;1418456357
Sim;1418457671
Sim;1418458481
Não;1418458643
Sim;1426356340
Sim;1426358040
Sim;1426358555
Sim;1426359101
Sim;1426359608
Sim;1426359799
Sim;1426359950
Sim;1426361181
Sim;1427473781
Sim;1427473862
Sim;1419784811
Sim;1422663612
Sim;1422664007
Sim;1422665747
Sim;1422666042
Sim;1422670236
Sim;1422670406
Sim;1422671631
Sim;1422673251
Sim;1422673685
Sim;1422674657
Sim;1422675890
Sim;1422677249
Sim;1422678210
Sim;1422679292
Sim;1422679969
Sim;1422680380
Sim;1422680541
Sim;1422681947
Sim;1422686159
Sim;1422686825
Sim;1422687716
Sim;1422687805
Sim;1422688011
Sim;1422688879
Sim;1422689506
Sim;1422690423
Sim;1422692205
Sim;1422695654
Sim;1422695816
Sim;1422696545
Sim;1422697436
Sim;1422698246
Sim;1422698327
Sim;1422698408
Sim;1422698912
Sim;1422702022
Sim;1422703185
Sim;1422704238
Sim;1422704580
Sim;1422705803
Sim;1422706281
Sim;1422706443
Sim;1422706796
Sim;1422708063
Sim;1422708225
Sim;1422708578
Sim;1422710475
Sim;1422712257
Sim;1422713814
Sim;1422715787
Sim;1422716597
Sim;1426345305
Sim;1426345810
Sim;1426347278
Sim;1426347600
Sim;1426348401
Sim;1426349645
Sim;1426350228
Sim;1426351119
Sim;1426351380
Sim;1426351461
Sim;1426351623
Sim;1426351704
Sim;1426352352
Sim;1426353162
Sim;1426353324
Sim;1426353596
Sim;1426353758
Sim;1426354215
Sim;1427474400
Sim;1427475059
Sim;1427475644
Sim;1427480729
Sim;1427480990
Sim;1427481539
Sim;1427481962
Sim;1427483663
Sim;1427483825
Sim;1427484040
Sim;1427484805
Sim;1427485100
Sim;1427487146
Sim;1427487227
Sim;1427488207
Sim;1427488622
Sim;1427491500
Sim;1427491763
Sim;1427493707
Sim;1427493979
Sim;1427494002
Sim;1427494940
Sim;1427495408
Sim;1427496137
Sim;1430337354
Sim;1431898759
Sim;1431900168
Sim;1431900320
Sim;1431900591
Sim;1431901725
Sim;1431901806
Sim;1431901997
Sim;1431902888
Sim;1431903183
Sim;1431904155
Sim;1431904236
Sim;1431904589
Sim;1431905399
Sim;1431906280
Sim;1431907090
Sim;1431907251
Sim;1431908142
Sim;1431908495
Sim;1431909203
Sim;1431909386
Sim;1431909971
Sim;1431910473
Sim;1431910635
Sim;1431913308
Sim;1431913901
Sim;1432890808
Sim;1434897397
Sim;1434898873
Sim;1434899926
Sim;1434902650
Sim;1434903702
Sim;1434905756
Sim;1434905837
Sim;1434905918
Sim;1434906647
Sim;1434907295
Sim;1434908003
Sim;1434910679
Sim;1434910830
Sim;1434911560
Sim;1448864640
Sim;1448866502
Sim;1448870100
Sim;1437915590
Sim;1437916562
Sim;1437918344
Sim;1437920080
Sim;1437920241
Sim;1437921302
Sim;1437921990
Sim;1437922961
Sim;1437924077
Sim;1437924905
Sim;1437926363
Sim;1439907722
Sim;1440376700
Sim;1442648031
Sim;1442648465
Sim;1442648546
Sim;1442648899
Sim;1442649518
Sim;1442649860
Sim;1442651091
Sim;1442652497
Sim;1442653540
Sim;1442655402
Sim;1442655674
Sim;1442655917
Sim;1442656131
Sim;1442657103
Sim;1444019244
Sim;1448857007
Sim;1448861543
Sim;1448871425
Sim;1448872316
Sim;1448872740
Sim;1448873045
Sim;1448874360
Sim;1448875099
Sim;1448875170
Sim;1448876818
Sim;1448877628
Sim;1448877709
Sim;1448878195
Sim;1448879400
Sim;1448880416
Sim;1448880505
Não;1448881579
Sim;1448882036
Sim;1448882206
Sim;1448882621
Sim;1450505210
Sim;1455588784
Sim;1458841804
Sim;1458842100
Sim;1458843092
Sim;1458844064
Sim;1458846008
Sim;1458846270
Sim;1458846512
Sim;1458847403
Não;1458847675
Sim;1458847756
Sim;1458848485
Sim;1458850030
Sim;1458850200
Sim;1458850625
Sim;1458852245
Sim;1458852830
Sim;1458854450
Sim;1458855422
Sim;1458855503
Sim;1458855694
Sim;1458856070
Sim;1458858286
Sim;1458858529
Sim;1458860779
Sim;1458860930
Sim;1458861074
Sim;1458861236
Sim;1458861821
Sim;1458861902
Sim;1458862801
Sim;1458862984
Sim;1458863522
Sim;1458864170
Sim;1458864332
Sim;1458864413
Sim;1458864847
Sim;1458866033
Sim;1458866971
Sim;1460794184
Sim;1461666554
Sim;1461666805
Sim;1461667607
Sim;1461667879
Sim;1461669308
Sim;1461670152
Sim;1461671205
Sim;1466697709
Sim;1466698519
Sim;1470749599
Sim;1473369533
Sim;1473370540
Sim;1473371600
Sim;1473372089
Sim;1473372160
Sim;1473373301
Sim;1473374456
Sim;1473375347
Sim;1473375690
Sim;1473376157
Sim;1473376661
Sim;1473377200
Sim;1473377633
Sim;1473377803
Sim;1473378524
Sim;1473378605
Sim;1473379172
Sim;1473379334
Sim;1473379504
Sim;1474144233
Sim;1475414099
Sim;1477075283
Sim;1477075607
Sim;1479387169
Sim;1479387592
Sim;1498404979
Sim;1500160776
Sim;1500178128
Sim;1500193194
Sim;1502661977
Sim;1503665585
