cod_familiar_fam;qtd_comodos_domic_fam
1096572338;4.0
1096573571;3.0
1096575434;3.0
1096577488;4.0
1096578107;5.0
1096589494;5.0
1096590662;3.0
1096591634;5.0
1096592100;2.0
1096593092;5.0
1096597322;5.0
1096607735;2.0
1096612143;3.0
1096614197;3.0
1096615916;4.0
1096618265;5.0
1096618699;2.0
1096618770;5.0
1096622025;3.0
1096624583;3.0
1096624826;5.0
1096650746;2.0
1096652366;2.0
1096655462;2.0
1096656191;2.0
1096657597;4.0
1096659611;5.0
1096663643;2.0
1096663724;3.0
1187741744;2.0
1187742716;5.0
1187743950;4.0
1187744417;5.0
1187746975;3.0
1187747513;4.0
1187748323;5.0
1187749052;3.0
1187801828;6.0
1187804843;4.0
1187804924;3.0
1187805220;5.0
1187807192;3.0
1187807354;3.0
1187808407;4.0
1187811971;4.0
1187812277;5.0
1187813087;2.0
1187813672;3.0
1187821268;3.0
1187822582;3.0
1187823120;5.0
1271100037;4.0
1271100380;3.0
1271100894;4.0
1271100975;3.0
1271101009;4.0
1271102161;4.0
1271102676;4.0
1271105420;4.0
1271105500;6.0
1271106230;4.0
1285598709;4.0
1287581552;9.0
1287582796;4.0
1287583504;5.0
1287583687;4.0
1287583768;6.0
1287585701;4.0
1096625393;5.0
1096625989;5.0
1096627256;6.0
1096631440;4.0
1096632683;3.0
1096633140;5.0
1096634112;5.0
1096634201;4.0
1096636247;5.0
1096637804;3.0
1096639262;5.0
1096641089;3.0
1096643618;3.0
1096644851;3.0
1096644932;6.0
1096667126;3.0
1288860722;7.0
1288860994;4.0
1288861370;4.0
1288861702;2.0
1288861966;5.0
1288863233;3.0
1290402159;3.0
1290402230;3.0
1294344269;3.0
1298075750;5.0
1298076307;7.0
1298076722;3.0
1298077370;5.0
1298077532;3.0
1298077613;3.0
1096669170;4.0
1096669927;4.0
1096671158;3.0
1096675498;2.0
1096675650;3.0
1340579456;4.0
1340581434;3.0
1340581787;5.0
1340582406;3.0
1340582759;2.0
1096679990;5.0
1096680068;3.0
1096682516;5.0
1096685965;2.0
1096687151;1.0
1096689448;5.0
1096694107;4.0
1096695502;7.0
1096695685;4.0
1096697467;5.0
1096699249;3.0
1096699915;2.0
1096700352;4.0
1096700867;4.0
1096701910;5.0
1096702053;3.0
1096702134;2.0
1096704692;5.0
1096705230;4.0
1096706474;5.0
1096711206;2.0
1110893795;3.0
1187738603;4.0
1187738794;4.0
1187739170;9.0
1187753670;4.0
1187754056;5.0
1187758124;3.0
1187759368;4.0
1187760455;3.0
1187764604;3.0
1187770680;4.0
1187773433;5.0
1406777633;3.0
1406778010;5.0
1406778362;5.0
1406778524;3.0
1406779504;5.0
1406779768;5.0
1406779920;4.0
1406780340;4.0
1406781150;3.0
1406781401;4.0
1406782718;5.0
1406784761;3.0
1406785148;5.0
1406785490;5.0
1406786110;3.0
1406786543;3.0
1406787000;3.0
1406787515;2.0
1406788830;3.0
1406789054;3.0
1406789305;5.0
1406789801;4.0
1406789992;5.0
1406790141;4.0
1406790222;4.0
1406790303;5.0
1406791970;2.0
1187777420;4.0
1187780642;4.0
1187782939;5.0
1187783900;3.0
1187789194;5.0
1187790796;3.0
1187792578;5.0
1187797294;4.0
1187801151;5.0
1407861042;3.0
1407861808;5.0
1407862367;4.0
1412361400;3.0
1412361753;2.0
1187830682;3.0
1187830925;5.0
1189508001;5.0
1196764000;4.0
1201458633;5.0
1203336357;4.0
1206804408;4.0
1208803859;2.0
1213055032;3.0
1216181101;4.0
1216181616;2.0
1216182698;4.0
1216185280;5.0
1217809619;3.0
1223830012;3.0
1236023862;5.0
1240864620;4.0
1240877790;3.0
1255788143;3.0
1260801004;4.0
1261893239;2.0
1262246504;5.0
1263927068;5.0
1264292198;4.0
1267847794;3.0
1267847875;2.0
1267848090;3.0
1270464370;3.0
1270466232;4.0
1270466909;3.0
1270467557;3.0
1270468952;5.0
1270470850;4.0
1270471317;4.0
1270471589;4.0
1270471821;4.0
1270472046;3.0
1270472801;3.0
1270473107;4.0
1270473441;5.0
1270473956;3.0
1270474332;3.0
1270475908;3.0
1270477609;4.0
1270478753;2.0
1270478834;4.0
1270482432;5.0
1271091100;3.0
1271092697;7.0
1271094550;4.0
1271094800;2.0
1271095017;2.0
1271095289;3.0
1271095360;2.0
1271095440;3.0
1271095602;4.0
1271097060;2.0
1271097737;3.0
1271097907;1.0
1271098032;4.0
1271098385;4.0
1287587160;3.0
1288859805;4.0
1288859988;5.0
1288860137;5.0
1298079900;5.0
1298080320;5.0
1298080673;3.0
1298081807;3.0
1298082021;6.0
1298083346;5.0
1300642467;4.0
1301570583;4.0
1305564758;5.0
1318316820;3.0
1322466351;2.0
1322501521;4.0
1329166221;3.0
1331660408;5.0
1331697409;3.0
1340298520;4.0
1340569906;4.0
1340571129;4.0
1340571471;3.0
1340571803;1.0
1340572109;4.0
1340575701;4.0
1340576350;5.0
1340576783;3.0
1340578131;4.0
1340585421;4.0
1340585774;4.0
1340585936;2.0
1340589257;3.0
1340589761;3.0
1340961695;2.0
1342534506;3.0
1353268934;4.0
1371871906;5.0
1379961440;4.0
1380381711;3.0
1380384060;5.0
1380384737;5.0
1380385890;3.0
1380386357;3.0
1380386438;3.0
1380386780;3.0
1380387752;4.0
1380387833;5.0
1380389534;3.0
1380391350;4.0
1380391865;5.0
1393821782;4.0
1403036853;3.0
1403169497;4.0
1404135103;2.0
1404136266;3.0
1404136690;6.0
1404138200;4.0
1414732236;3.0
1414732740;3.0
1414733399;5.0
1414735090;4.0
1404140379;5.0
1404142827;3.0
1404144609;5.0
1404144951;4.0
1404145257;4.0
1404146490;5.0
1404147624;5.0
1404148868;4.0
1404150846;3.0
1404151575;4.0
1404152547;5.0
1404152970;4.0
1404153004;5.0
1404154590;3.0
1404155309;3.0
1404155562;2.0
1404156372;5.0
1404157425;6.0
1404157778;2.0
1404157859;4.0
1404159045;4.0
1406776076;3.0
1406776238;1.0
1406793590;
1406795372;4.0
1406795453;5.0
1406797154;3.0
1406797316;5.0
1407815792;4.0
1407815954;3.0
1407817493;5.0
1407817655;3.0
1407817906;5.0
1407818546;5.0
1407818899;3.0
1407822659;3.0
1407824007;5.0
1407825321;5.0
1407826565;4.0
1407826646;5.0
1407829157;1.0
1407829661;3.0
1407830406;3.0
1407830597;4.0
1407831135;3.0
1407831569;6.0
1407831801;4.0
1407833006;3.0
1407834312;3.0
1407834584;4.0
1407835122;4.0
1407835394;5.0
1407836951;3.0
1407838067;4.0
1407838229;4.0
1407839039;3.0
1407839705;5.0
1407840126;3.0
1407840207;4.0
1407842501;5.0
1407842765;3.0
1407845004;2.0
1407845357;5.0
1407845861;4.0
1407847996;3.0
1407850199;3.0
1407850865;5.0
1407852302;5.0
1407853961;3.0
1407855743;4.0
1407857606;3.0
1407860232;5.0
1407860747;5.0
1412364183;3.0
1412365074;3.0
1412365740;5.0
1412366399;1.0
1412366631;3.0
1412367107;2.0
1412367360;3.0
1412368090;6.0
1412368685;3.0
1412369657;5.0
1412369908;5.0
1412370230;5.0
1412371988;4.0
1412372445;5.0
1414729952;6.0
1414738439;3.0
1414738781;3.0
1414739591;3.0
1414740174;4.0
1414740689;3.0
1414741812;3.0
1414743009;3.0
1414744323;5.0
1414745648;3.0
1414746610;4.0
1414747500;4.0
1414748663;3.0
1414749120;5.0
1414751451;1.0
1414752008;5.0
1414752504;3.0
1414753152;4.0
1414754710;5.0
1414755015;5.0
1414756500;5.0
1414756844;3.0
1414758979;3.0
1414760442;5.0
1414760876;3.0
1414761767;3.0
1414761848;4.0
1414762810;4.0
1414763115;3.0
1414764510;3.0
1414764600;5.0
1414764863;3.0
1414765088;2.0
1414766050;3.0
1414766483;4.0
1414767617;3.0
1414768427;5.0
1414769407;5.0
1414769580;2.0
1418447951;4.0
1418448176;7.0
1418448257;2.0
1418449652;2.0
1414771053;5.0
1414771649;4.0
1414772378;3.0
1414772459;4.0
1414773340;5.0
1418418188;6.0
1418420166;5.0
1418421642;6.0
1418421723;4.0
1418422029;3.0
1418422100;3.0
1418422967;4.0
1418424587;2.0
1418425206;4.0
1418425559;3.0
1418430803;4.0
1418431010;5.0
1418431362;4.0
1418431524;5.0
1418431605;4.0
1418431958;3.0
1418434540;3.0
1418434973;5.0
1418435279;5.0
1418437484;2.0
1418439851;5.0
1418440000;3.0
1418440949;4.0
1418441406;3.0
1418441597;4.0
1418443611;2.0
1418444340;5.0
1418444421;3.0
1418446203;4.0
1418454303;3.0
1418455113;6.0
1418456357;6.0
1418457671;5.0
1418458481;6.0
1418458643;3.0
1426356340;2.0
1426358040;5.0
1426358555;5.0
1426359101;3.0
1426359608;2.0
1426359799;2.0
1426359950;5.0
1426361181;4.0
1427473781;5.0
1427473862;3.0
1419784811;3.0
1422663612;4.0
1422664007;7.0
1422665747;5.0
1422666042;3.0
1422670236;5.0
1422670406;3.0
1422671631;3.0
1422673251;4.0
1422673685;4.0
1422674657;3.0
1422675890;4.0
1422677249;5.0
1422678210;6.0
1422679292;4.0
1422679969;5.0
1422680380;2.0
1422680541;4.0
1422681947;3.0
1422686159;2.0
1422686825;5.0
1422687716;5.0
1422687805;4.0
1422688011;4.0
1422688879;4.0
1422689506;6.0
1422690423;3.0
1422692205;2.0
1422695654;3.0
1422695816;5.0
1422696545;3.0
1422697436;2.0
1422698246;3.0
1422698327;4.0
1422698408;3.0
1422698912;3.0
1422702022;4.0
1422703185;2.0
1422704238;5.0
1422704580;3.0
1422705803;3.0
1422706281;4.0
1422706443;5.0
1422706796;6.0
1422708063;4.0
1422708225;5.0
1422708578;4.0
1422710475;3.0
1422712257;3.0
1422713814;3.0
1422715787;3.0
1422716597;5.0
1426345305;2.0
1426345810;3.0
1426347278;3.0
1426347600;3.0
1426348401;5.0
1426349645;3.0
1426350228;3.0
1426351119;2.0
1426351380;3.0
1426351461;35.0
1426351623;4.0
1426351704;5.0
1426352352;4.0
1426353162;4.0
1426353324;2.0
1426353596;2.0
1426353758;3.0
1426354215;3.0
1427474400;3.0
1427475059;3.0
