ano;descricao_secao_cnae;quantidade_vinculos_ativos
2012;Indústrias extrativas;362
2012;Informação e comunicação;7496
2012;Organismos internacionais e outras instituições extraterritoriais;67
2012;Outras atividades de serviços;2975
2012;Saúde humana e serviços sociais;4337
2012;Serviços domésticos;1
2012;Transporte, armazenagem e correio;14352
2012;Água, esgoto, atividades de gestão de resíduos e descontaminação;863
2013;Administração pública, defesa e seguridade social;21577
2013;Agricultura, pecuária, produção florestal, pesca e aquicultura;21
2013;Alojamento e alimentação;5661
2013;Artes, cultura, esporte e recreação;478
2013;Atividades administrativas e serviços complementares;17040
2013;Atividades financeiras, de seguros e serviços relacionados;14267
2013;Atividades imobiliárias;640
2013;Atividades profissionais, científicas e técnicas;2528
2013;"Comércio; reparação de veículos automotores e motocicletas";46196
2013;Construção;6830
2013;Educação;6404
2013;Eletricidade e gás;2
2013;Indústrias de transformação;20767
2013;Indústrias extrativas;369
2013;Informação e comunicação;9674
2013;Organismos internacionais e outras instituições extraterritoriais;0
2013;Outras atividades de serviços;3206
2013;Saúde humana e serviços sociais;3928
2013;Serviços domésticos;6
2013;Transporte, armazenagem e correio;15044
2013;Água, esgoto, atividades de gestão de resíduos e descontaminação;974
2014;Administração pública, defesa e seguridade social;22015
2014;Agricultura, pecuária, produção florestal, pesca e aquicultura;18
2014;Alojamento e alimentação;5857
2014;Artes, cultura, esporte e recreação;493
2014;Atividades administrativas e serviços complementares;18336
2014;Atividades financeiras, de seguros e serviços relacionados;13988
2014;Atividades imobiliárias;492
2014;Atividades profissionais, científicas e técnicas;2670
2014;"Comércio; reparação de veículos automotores e motocicletas";47278
2014;Construção;6202
2014;Educação;7089
2014;Eletricidade e gás;1
2014;Indústrias de transformação;19863
2014;Indústrias extrativas;430
2014;Informação e comunicação;9914
2014;Organismos internacionais e outras instituições extraterritoriais;0
2014;Outras atividades de serviços;2612
2014;Saúde humana e serviços sociais;4057
2014;Serviços domésticos;5
2014;Transporte, armazenagem e correio;14904
2014;Água, esgoto, atividades de gestão de resíduos e descontaminação;977
2015;Administração pública, defesa e seguridade social;18746
2015;Agricultura, pecuária, produção florestal, pesca e aquicultura;15
2015;Alojamento e alimentação;5833
2015;Artes, cultura, esporte e recreação;577
2015;Atividades administrativas e serviços complementares;16231
2015;Atividades financeiras, de seguros e serviços relacionados;14263
2015;Atividades imobiliárias;480
2015;Atividades profissionais, científicas e técnicas;2791
2015;"Comércio; reparação de veículos automotores e motocicletas";46994
2015;Construção;7792
2015;Educação;6919
2015;Eletricidade e gás;2
2015;Indústrias de transformação;17294
2015;Indústrias extrativas;362
2015;Informação e comunicação;8423
2015;Organismos internacionais e outras instituições extraterritoriais;0
2015;Outras atividades de serviços;2834
2015;Saúde humana e serviços sociais;5012
2015;Serviços domésticos;4
2015;Transporte, armazenagem e correio;13835
2015;Água, esgoto, atividades de gestão de resíduos e descontaminação;962
2016;Administração pública, defesa e seguridade social;17718
2016;Agricultura, pecuária, produção florestal, pesca e aquicultura;14
2016;Alojamento e alimentação;5655
2016;Artes, cultura, esporte e recreação;652
2016;Atividades administrativas e serviços complementares;15808
2016;Atividades financeiras, de seguros e serviços relacionados;13810
2016;Atividades imobiliárias;471
2016;Atividades profissionais, científicas e técnicas;2699
2016;"Comércio; reparação de veículos automotores e motocicletas";44822
2016;Construção;6186
2016;Educação;6560
2016;Eletricidade e gás;1
2016;Indústrias de transformação;15324
2016;Indústrias extrativas;8
2016;Informação e comunicação;7628
2016;Outras atividades de serviços;3131
2016;Saúde humana e serviços sociais;5464
2016;Serviços domésticos;2
2016;Transporte, armazenagem e correio;13294
2016;Água, esgoto, atividades de gestão de resíduos e descontaminação;939
2017;Administração pública, defesa e seguridade social;16777
2017;Agricultura, pecuária, produção florestal, pesca e aquicultura;13
2017;Alojamento e alimentação;5754
2017;Artes, cultura, esporte e recreação;624
2017;Atividades administrativas e serviços complementares;15076
2017;Atividades financeiras, de seguros e serviços relacionados;12293
2017;Atividades imobiliárias;480
2017;Atividades profissionais, científicas e técnicas;4443
2017;"Comércio; reparação de veículos automotores e motocicletas";44305
2017;Construção;4950
2017;Educação;6155
2017;Eletricidade e gás;0
2017;Indústrias de transformação;14272
2017;Indústrias extrativas;2
2017;Informação e comunicação;7784
2017;Outras atividades de serviços;2838
2017;Saúde humana e serviços sociais;5255
2017;Serviços domésticos;1
2017;Transporte, armazenagem e correio;13188
2017;Água, esgoto, atividades de gestão de resíduos e descontaminação;982
2018;Administração pública, defesa e seguridade social;16311
2018;Agricultura, pecuária, produção florestal, pesca e aquicultura;9
2018;Alojamento e alimentação;5754
2018;Artes, cultura, esporte e recreação;621
2018;Atividades administrativas e serviços complementares;16068
2018;Atividades financeiras, de seguros e serviços relacionados;13497
2018;Atividades imobiliárias;532
2018;Atividades profissionais, científicas e técnicas;5805
2018;"Comércio; reparação de veículos automotores e motocicletas";45281
2018;Construção;5265
2018;Educação;6319
2018;Eletricidade e gás;1
2018;Indústrias de transformação;13890
2018;Indústrias extrativas;2
