ano;cnae_2_descricao_secao;variable;media_idade
2020;Atividades Imobiliárias;Demissões;34.50810810810811
2011;Transporte, Armazenagem E Correio;Admissões;32.21927416895395
2021;Atividades Profissionais, Científicas E Técnicas;Demissões;30.75598086124402
2010;Atividades Profissionais, Científicas E Técnicas;Demissões;30.848337388483372
2012;Atividades Imobiliárias;Demissões;32.317708333333336
2020;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;31.627918377351552
2020;Atividades Administrativas E Serviços Complementares;Admissões;31.58486833128667
2012;Alojamento E Alimentação;Admissões;30.627615062761507
2011;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;24.134295227524973
2021;;Demissões;29.0
2022;Informação E Comunicação;Admissões;33.174174174174176
2021;Atividades Profissionais, Científicas E Técnicas;Admissões;30.370797180043382
2023;Administração Pública, Defesa E Seguridade Social;Demissões;47.44444444444444
2010;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;31.405405405405407
2023;Atividades Imobiliárias;Demissões;32.59307359307359
2010;Alojamento E Alimentação;Admissões;29.62864077669903
2021;Artes, Cultura, Esporte E Recreação;Admissões;30.111764705882354
2011;Saúde Humana E Serviços Sociais;Admissões;30.373895976447496
2020;Educação;Admissões;34.67487684729064
2024;Administração Pública, Defesa E Seguridade Social;Demissões;44.916666666666664
2022;Transporte, Armazenagem E Correio;Demissões;34.766358073120976
2022;Administração Pública, Defesa E Seguridade Social;Demissões;45.18181818181818
2011;Atividades Administrativas E Serviços Complementares;Admissões;29.212104117978885
2011;Informação E Comunicação;Admissões;28.379931389365353
2023;Informação E Comunicação;Demissões;32.48945483485873
2023;Atividades Imobiliárias;Admissões;30.821100917431192
2014;Construção;Demissões;33.85190476190476
2014;Transporte, Armazenagem E Correio;Admissões;32.14886585549046
2021;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;30.4845869297164
2023;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;33.33666134185304
2023;Administração Pública, Defesa E Seguridade Social;Admissões;35.0
2011;Administração Pública, Defesa E Seguridade Social;Demissões;41.258144408458755
2021;Outras Atividades De Serviços;Demissões;35.78600823045267
2021;Saúde Humana E Serviços Sociais;Demissões;34.24566768603466
2023;Indústrias De Transformação;Demissões;34.63678892215569
2020;Transporte, Armazenagem E Correio;Admissões;32.373080967402736
2023;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;35.95738636363637
2021;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;31.79268292682927
2014;Informação E Comunicação;Admissões;30.59312728751525
2024;Indústrias De Transformação;Admissões;33.39859693877551
2012;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;23.879890185312284
2022;Alojamento E Alimentação;Demissões;29.319027808189183
2024;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;33.95
2023;Alojamento E Alimentação;Admissões;29.180256622516556
2014;Informação E Comunicação;Demissões;30.81650919940328
2022;Atividades Administrativas E Serviços Complementares;Admissões;30.7649476127737
2020;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;29.72095383054287
2014;Atividades Profissionais, Científicas E Técnicas;Admissões;29.34536082474227
2012;Artes, Cultura, Esporte E Recreação;Admissões;27.67628205128205
2022;Outras Atividades De Serviços;Demissões;34.89235412474849
2020;Informação E Comunicação;Demissões;35.05995085995086
2014;Alojamento E Alimentação;Admissões;26.280905752753977
2022;Alojamento E Alimentação;Admissões;28.63996175908222
2010;Atividades Administrativas E Serviços Complementares;Admissões;29.082416238689166
2024;Transporte, Armazenagem E Correio;Admissões;30.29079663098789
2012;Alojamento E Alimentação;Demissões;30.96728624535316
2024;Alojamento E Alimentação;Admissões;29.598932384341637
2020;Informação E Comunicação;Admissões;32.27537796976242
2012;Indústrias De Transformação;Demissões;32.408345925839825
2010;Saúde Humana E Serviços Sociais;Demissões;34.00327868852459
2014;Organismos Internacionais E Outras Instituições Extraterritoriais;Demissões;32.65
2024;Educação;Demissões;37.43485477178423
2011;Administração Pública, Defesa E Seguridade Social;Admissões;39.71862230005838
2023;Construção;Admissões;35.5471562275018
2023;Outras Atividades De Serviços;Admissões;32.1253357206804
2012;Educação;Demissões;32.620235934664244
2022;Educação;Demissões;36.51109215017065
2023;Educação;Admissões;35.1127409891031
2010;Transporte, Armazenagem E Correio;Demissões;33.27482993197279
2024;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;30.110559369066745
2020;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;24.0
2020;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;38.84848484848485
2023;Atividades Profissionais, Científicas E Técnicas;Demissões;31.494490082147866
2023;Alojamento E Alimentação;Demissões;29.283474576271185
2014;Transporte, Armazenagem E Correio;Demissões;33.26151410477836
2021;Transporte, Armazenagem E Correio;Admissões;30.71138114526249
2021;Educação;Admissões;34.313292884721456
2022;Construção;Demissões;35.93908547422847
2014;Indústrias Extrativas;Admissões;33.401162790697676
2024;Saúde Humana E Serviços Sociais;Demissões;30.748336106489184
2020;Alojamento E Alimentação;Admissões;28.146618063993518
2014;Artes, Cultura, Esporte E Recreação;Demissões;29.444444444444443
2022;Artes, Cultura, Esporte E Recreação;Demissões;30.409252669039144
2014;Indústrias De Transformação;Admissões;29.672120418848166
2021;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;29.790655061841502
2010;Artes, Cultura, Esporte E Recreação;Demissões;29.121951219512194
2011;Alojamento E Alimentação;Admissões;29.609443161406208
